Stem,Status,Description,LineData
100_jpg.rf.f2c516dbfe9ce6fd79343809d4d3dd7f,VALID,,
100_PNG.rf.47041b9d25900aeb647dd12e7ac9867e,VALID,,
100_PNG.rf.95e48cabb1c8729d41152b4d4c766f6e,VALID,,
100_PNG.rf.f134e876b21e5efb5dc7cdcf97d524ff,VALID,,
101_jpg.rf.d1b92710409c3cf0b2649a58f501aa67,VALID,,
101_jpg.rf.e953be5f981cbdf8e57607b346ed61d9,VALID,,
101_PNG.rf.34ae9c7fc54a14c04f9d3688ef271e57,VALID,,
101_PNG.rf.f5ea08c590587b158d5303bf9ba1d92f,VALID,,
102_jpg.rf.9e02f816c36a67b69f104c521feab9df,VALID,,
102_PNG.rf.1800f52fe11d0bccdd2b7d25c618ea33,VALID,,
102_PNG.rf.ca67828af9c8034d1901dca24d5460a4,VALID,,
102_PNG.rf.ca9b9138d738106de7a4377f194dadf8,VALID,,
103_jpg.rf.b2cd8caf3d9877167049eff0c98d9134,VALID,,
103_PNG.rf.579f13ed4ee1a79d686f221d0e0c7173,VALID,,
103_PNG.rf.c0a90c4b8e58cc4a04f23b8d91650f40,VALID,,
104_jpg.rf.aac557c510aeeeb73e9517379ec887c6,VALID,,
104_jpg.rf.c27ac6c0571c1e7540f808fc5f84c149,VALID,,
104_PNG.rf.101c29fe6753b2546eed9bf3fef8b316,VALID,,
104_PNG.rf.1d397df6d1ead6abdae32e4680ed1ae8,VALID,,
105_PNG.rf.82bf9a174e7ac3c353f760dd1b5cb426,VALID,,
105_PNG.rf.a3b81cc93ad9976d51e74b51d24a2419,VALID,,
105_PNG.rf.d0b1106521a5876cd8f4047aadf09878,VALID,,
106_jpg.rf.f7f61c8334d6063f3b932b927d7a3ec3,VALID,,
106_PNG.rf.36399d3d01381f119fb4312818e7d31d,VALID,,
107_jpg.rf.594edaff938c82ca02913794052cd9f4,VALID,,
107_jpg.rf.730ed7f6b2cfda4e8e57d12b581821ef,VALID,,
107_PNG.rf.5ed7f34e9801ea14bb9811761318f448,VALID,,
107_PNG.rf.f90199e122d60b779933b9c729823de6,VALID,,
108_jpg.rf.ee2760305e11fb1c4e91e9bb2bdc2555,VALID,,
108_jpg.rf.f9e1ff30932e89874a1a9ed6ebd14eee,VALID,,
108_PNG.rf.3a36dc4689b5120bdcab9d9e0c25d7fa,VALID,,
108_PNG.rf.e8ede1e5aff1f91beb295f21f4b898dd,VALID,,
109_jpg.rf.25d15b3bfe02d6f361196be986c12125,VALID,,
109_jpg.rf.ae07c0f371b84c7f11d3c70afaab8407,VALID,,
109_PNG.rf.7ca89fefd383211965410174f9ec2fd4,VALID,,
109_PNG.rf.7fcf72f2cfcef3cdd2ab62ad107e8aba,VALID,,
10_PNG.rf.15b81a67d39b9d00250dd2ecea934c48,VALID,,
10_PNG.rf.32e591745d709fea78155a3a90219346,VALID,,
10_PNG.rf.a1e0da12731f377a1ec929086011dfe3,VALID,,
10_PNG.rf.be476525f4c012a7e2c0cefc391d0397,VALID,,
110_jpg.rf.b3ef482a6fe80103d39b45d72bde82b3,VALID,,
110_PNG.rf.6929f60938f3ff82869cfcef80de1ca4,VALID,,
110_PNG.rf.f42177a146e3a26c87d332f1b79403a1,VALID,,
111_jpg.rf.1c022deae3128202dc2de28613f59218,VALID,,
111_jpg.rf.5c583fd957200cd6afd2e9670f607c1e,VALID,,
111_PNG.rf.fe9e554df4d96ed4bfaa600521701a1f,VALID,,
112_jpg.rf.7c6eb8872d486e56a5ddc5630907abe5,VALID,,
