Stem,Status,Description,LineData
Leaf_Algal_Leaf_Algal_1,VALID,,
Leaf_Algal_Leaf_Algal_10,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_100,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_101,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_102,VALID,,
Leaf_Algal_Leaf_Algal_103,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_104,VALID,,
Leaf_Algal_Leaf_Algal_105,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_106,VALID,,
Leaf_Algal_Leaf_Algal_107,VALID,,
Leaf_Algal_Leaf_Algal_108,VALID,,
Leaf_Algal_Leaf_Algal_109,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_11,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_110,VALID,,
Leaf_Algal_Leaf_Algal_111,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_112,VALID,,
Leaf_Algal_Leaf_Algal_113,VALID,,
Leaf_Algal_Leaf_Algal_114,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_115,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_116,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_117,VALID,,
Leaf_Algal_Leaf_Algal_118,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_119,VALID,,
Leaf_Algal_Leaf_Algal_12,VALID,,
Leaf_Algal_Leaf_Algal_120,VALID,,
Leaf_Algal_Leaf_Algal_121,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_122,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_123,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_124,VALID,,
Leaf_Algal_Leaf_Algal_125,VALID,,
Leaf_Algal_Leaf_Algal_126,VALID,,
Leaf_Algal_Leaf_Algal_127,VALID,,
Leaf_Algal_Leaf_Algal_128,VALID,,
Leaf_Algal_Leaf_Algal_129,VALID,,
Leaf_Algal_Leaf_Algal_13,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_130,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_131,VALID,,
Leaf_Algal_Leaf_Algal_132,VALID,,
Leaf_Algal_Leaf_Algal_133,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_134,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_135,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_136,VALID,,
Leaf_Algal_Leaf_Algal_137,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_138,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_139,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_14,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_140,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_141,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_142,VALID,,
Leaf_Algal_Leaf_Algal_143,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_144,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_145,VALID,,
Leaf_Algal_Leaf_Algal_146,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_147,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_148,VALID,,
Leaf_Algal_Leaf_Algal_149,VALID,,
Leaf_Algal_Leaf_Algal_15,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_150,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_151,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_152,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_153,VALID,,
Leaf_Algal_Leaf_Algal_154,VALID,,
Leaf_Algal_Leaf_Algal_155,VALID,,
Leaf_Algal_Leaf_Algal_156,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_157,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_158,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_159,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_16,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_160,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_161,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_162,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_163,VALID,,
Leaf_Algal_Leaf_Algal_164,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_165,VALID,,
Leaf_Algal_Leaf_Algal_166,VALID,,
Leaf_Algal_Leaf_Algal_167,VALID,,
Leaf_Algal_Leaf_Algal_168,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_169,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_17,VALID,,
Leaf_Algal_Leaf_Algal_170,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_171,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_172,VALID,,
Leaf_Algal_Leaf_Algal_173,VALID,,
Leaf_Algal_Leaf_Algal_174,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_175,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_176,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_177,VALID,,
Leaf_Algal_Leaf_Algal_178,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_179,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_18,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_180,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_181,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_182,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_183,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_184,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_185,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_186,VALID,,
Leaf_Algal_Leaf_Algal_187,VALID,,
Leaf_Algal_Leaf_Algal_188,VALID,,
Leaf_Algal_Leaf_Algal_189,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_19,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_190,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_191,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_192,VALID,,
Leaf_Algal_Leaf_Algal_193,VALID,,
Leaf_Algal_Leaf_Algal_194,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_195,VALID,,
Leaf_Algal_Leaf_Algal_196,VALID,,
Leaf_Algal_Leaf_Algal_197,MISSING_LABEL,,No label file
Leaf_Algal_Leaf_Algal_198,VALID,,
