Stem,Status,Description
Leaf_Algal_Leaf_Algal_263_jpg.rf.3f7e7be7ffb5d0e25b99b4c7d6384c95,MALFORMED,Invalid part count
Leaf_Algal_Leaf_Algal_263_jpg.rf.b05adc1fcb240bb916dada346070968a,MALFORMED,Invalid part count
Leaf_Algal_Leaf_Algal_263_jpg.rf.b41fb3b0b25d2f8f363d09b329972c73,MALFORMED,Invalid part count
Leaf_Algal_Leaf_Algal_389_jpg.rf.a7a4b5579bb0c5d16aadbb8c27daeb40,MALFORMED,Invalid part count
Leaf_Algal_Leaf_Algal_389_jpg.rf.b7fb49149ba249087d605828da21ec46,MALFORMED,Invalid part count
Leaf_Algal_Leaf_Algal_389_jpg.rf.d3c28c8d6de5533c1e8c6f30acd8b1f0,MALFORMED,Invalid part count
Leaf_Blight_Leaf_Blight_270_jpg.rf.5d3bb08660f888804f95f7d10a527267,MALFORMED,Invalid part count
Leaf_Blight_Leaf_Blight_270_jpg.rf.c30ce70d3bc760b2f3275d6de4ab149d,MALFORMED,Invalid part count
Leaf_Blight_Leaf_Blight_270_jpg.rf.f21e98154012fa4387b1c9631963a533,MALFORMED,Invalid part count
Leaf_Blight_Leaf_Blight_422_jpg.rf.2460dac7ee455f509dc8620dcd5241bc,MALFORMED,Invalid part count
Leaf_Blight_Leaf_Blight_422_jpg.rf.889371b7fcbbb6dac562e111255c14a6,MALFORMED,Invalid part count
Leaf_Blight_Leaf_Blight_422_jpg.rf.9a111286582bc32f4f05a1b7dd849c4a,MALFORMED,Invalid part count
Leaf_Colletotrichum_Leaf_Colletotrichum_202_jpg.rf.3e93e0ea9693f2895b6c9b1819410c0e,MALFORMED,Invalid part count
Leaf_Colletotrichum_Leaf_Colletotrichum_202_jpg.rf.d402397a490ceccb2dc6ac6f7060456d,MALFORMED,Invalid part count
Leaf_Colletotrichum_Leaf_Colletotrichum_202_jpg.rf.f757a20065534b265b289bf8675ffc30,MALFORMED,Invalid part count
Leaf_Healthy_Leaf_Healthy_464_jpg.rf.044c1104986f1a6710ae65e36c219d30,MALFORMED,Invalid part count
Leaf_Healthy_Leaf_Healthy_464_jpg.rf.1bf2c2d1648d0a2c87e02ba68039c49f,MALFORMED,Invalid part count
Leaf_Healthy_Leaf_Healthy_464_jpg.rf.58cbee159cea1ced77d6ec305fdc8919,MALFORMED,Invalid part count
Leaf_Healthy_Leaf_Healthy_465_jpg.rf.0db6aadaf132708d1ba39009e1b4d92e,MALFORMED,Invalid part count
Leaf_Healthy_Leaf_Healthy_465_jpg.rf.92e6d8bb01ae290c6934fa0fdff8cb4a,MALFORMED,Invalid part count
Leaf_Healthy_Leaf_Healthy_465_jpg.rf.df26c93f857633f49316b401e9ae1a90,MALFORMED,Invalid part count
Leaf_Phomopsis_Leaf_Phomopsis_218_jpg.rf.90b34d9e3c63bdb6b495f7068565b844,MALFORMED,Invalid part count
Leaf_Phomopsis_Leaf_Phomopsis_218_jpg.rf.9a5484ec4e0f83255f049b9e67beb3fa,MALFORMED,Invalid part count
Leaf_Phomopsis_Leaf_Phomopsis_218_jpg.rf.b0a13b43a978c56df12ee54c40bcd3c3,MALFORMED,Invalid part count
Leaf_Phomopsis_Leaf_Phomopsis_305_jpg.rf.01bc5286c3d40b0450bb8b4b3a47f5fe,MALFORMED,Invalid part count
Leaf_Phomopsis_Leaf_Phomopsis_305_jpg.rf.464ebcdf75657cff1f26002af3bee8c7,MALFORMED,Invalid part count
Leaf_Phomopsis_Leaf_Phomopsis_305_jpg.rf.716b2017b398dc657976459bf47ecc88,MALFORMED,Invalid part count
Leaf_Phomopsis_Leaf_Phomopsis_5_jpg.rf.18dcbf7034a87a2d0fe035aa35131ce7,MALFORMED,Invalid part count
Leaf_Phomopsis_Leaf_Phomopsis_5_jpg.rf.523482ef285bda41ac352880df336f26,MALFORMED,Invalid part count
Leaf_Phomopsis_Leaf_Phomopsis_5_jpg.rf.c9a0f77bc4f79f2fea1dea542361737b,MALFORMED,Invalid part count
Leaf_Phomopsis_Leaf_Phomopsis_82_jpg.rf.18604c711c04abcc817a82c81aa0e20a,MALFORMED,Invalid part count
Leaf_Phomopsis_Leaf_Phomopsis_82_jpg.rf.1f5a27c9c5c5040a50599dddb24d67aa,MALFORMED,Invalid part count
Leaf_Phomopsis_Leaf_Phomopsis_82_jpg.rf.e7cb80d4cadd05487394776aaad28663,MALFORMED,Invalid part count
Leaf_Rhizoctonia_Leaf_Rhizoctonia_126_jpg.rf.67609adab3593924a5b11d3ca0d85124,MALFORMED,Invalid part count
Leaf_Rhizoctonia_Leaf_Rhizoctonia_126_jpg.rf.906db9f6a7337ab69c190495e0dcefd1,MALFORMED,Invalid part count
Leaf_Rhizoctonia_Leaf_Rhizoctonia_126_jpg.rf.ea4e4dd8c6c6bacc0b6ebdfbbdaa0a73,MALFORMED,Invalid part count
Leaf_Rhizoctonia_Leaf_Rhizoctonia_249_jpg.rf.1f0938388a50d99bc2754818f1ed6b7e,MALFORMED,Invalid part count
Leaf_Rhizoctonia_Leaf_Rhizoctonia_249_jpg.rf.4aeac5432e7fa9cda0e8a41e98046956,MALFORMED,Invalid part count
Leaf_Rhizoctonia_Leaf_Rhizoctonia_249_jpg.rf.7a37bae3a7e1c034bdc12705c7ddbdbb,MALFORMED,Invalid part count
Leaf_Rhizoctonia_Leaf_Rhizoctonia_277_jpg.rf.10c77f019f5b4ffd6a632a80a53e83db,MALFORMED,Invalid part count
Leaf_Rhizoctonia_Leaf_Rhizoctonia_277_jpg.rf.5202b9764f50213d5a9ceb02edb851af,MALFORMED,Invalid part count
Leaf_Rhizoctonia_Leaf_Rhizoctonia_277_jpg.rf.9e7872c72145abe84fc7b1c320ec894f,MALFORMED,Invalid part count
