epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5643,0.66725,6.27386,0.01665,0.02147,0.78758,0.09778,0.07063,0.4169,8.06405,0.01436,0.00025,0.00025,0.00025
2,27.8714,0.60477,5.77315,0.01429,0.00671,0.8846,0.17813,0.15323,0.45065,6.53071,0.01571,0.000506634,0.000506634,0.000506634
3,41.0465,0.69258,5.1264,0.01655,0.00448,0.95397,0.21762,0.18431,0.58351,5.0735,0.02123,0.000759836,0.000759836,0.000759836
4,54.0235,0.69968,4.59622,0.01668,0.76649,0.2518,0.34902,0.28786,0.64917,3.79361,0.0238,0.0009802,0.0009802,0.0009802
5,66.9473,0.74119,4.20109,0.0179,0.47576,0.30152,0.34285,0.23479,1.12727,3.55114,0.04644,0.0009736,0.0009736,0.0009736
6,80.084,0.76031,4.05053,0.01873,0.47926,0.39085,0.38854,0.30222,0.85659,2.57185,0.03378,0.000967,0.000967,0.000967
7,93.0606,0.73263,3.63649,0.01751,0.51987,0.4196,0.40358,0.33891,0.69724,2.23682,0.02611,0.0009604,0.0009604,0.0009604
8,106.086,0.69149,3.20222,0.01611,0.60347,0.3679,0.54474,0.41631,0.78103,1.96326,0.03096,0.0009538,0.0009538,0.0009538
9,119.132,0.69181,2.98659,0.01632,0.54845,0.52344,0.55177,0.45638,0.73882,1.68716,0.02882,0.0009472,0.0009472,0.0009472
10,132.273,0.66852,2.8379,0.01591,0.70497,0.49453,0.58195,0.47293,0.72169,1.47283,0.02867,0.0009406,0.0009406,0.0009406
11,145.216,0.67139,2.59022,0.01558,0.6253,0.59117,0.68127,0.55543,0.74941,1.23282,0.02914,0.000934,0.000934,0.000934
12,159.456,0.67704,2.43621,0.0161,0.59188,0.62686,0.63934,0.51015,0.79015,1.304,0.03136,0.0009274,0.0009274,0.0009274
13,172.651,0.65407,2.2917,0.01574,0.50861,0.44501,0.53057,0.45134,0.71391,1.56002,0.02687,0.0009208,0.0009208,0.0009208
14,185.94,0.67337,2.08217,0.01584,0.58842,0.59644,0.63769,0.5176,0.83888,1.21848,0.03169,0.0009142,0.0009142,0.0009142
15,199.285,0.66809,1.92956,0.01603,0.76066,0.55322,0.70003,0.56804,0.70437,1.08735,0.02608,0.0009076,0.0009076,0.0009076
16,212.639,0.70302,1.92995,0.01621,0.71196,0.66364,0.71808,0.57087,0.78301,1.04906,0.03043,0.000901,0.000901,0.000901
17,226.051,0.66162,1.79329,0.01528,0.759,0.70267,0.74471,0.58474,0.72823,1.04224,0.0265,0.0008944,0.0008944,0.0008944
18,239.387,0.65855,1.6602,0.01595,0.6445,0.65035,0.65867,0.54317,0.69218,1.09258,0.02651,0.0008878,0.0008878,0.0008878
19,252.648,0.64914,1.60369,0.01486,0.75169,0.6243,0.70772,0.57284,0.81331,1.09167,0.03138,0.0008812,0.0008812,0.0008812
20,265.882,0.64961,1.52773,0.01516,0.72343,0.68843,0.75426,0.63211,0.65539,0.91962,0.02568,0.0008746,0.0008746,0.0008746
21,279.127,0.61305,1.50518,0.01429,0.68835,0.65719,0.66675,0.52823,0.77992,1.12824,0.02939,0.000868,0.000868,0.000868
22,292.349,0.64318,1.41885,0.01489,0.79488,0.63959,0.731,0.6131,0.78297,0.89049,0.0289,0.0008614,0.0008614,0.0008614
23,305.539,0.64534,1.40057,0.01513,0.7304,0.70023,0.75267,0.62518,0.67091,0.93805,0.02572,0.0008548,0.0008548,0.0008548
24,318.606,0.6111,1.25774,0.01442,0.80281,0.7288,0.80628,0.65101,0.75299,0.85474,0.02893,0.0008482,0.0008482,0.0008482
25,331.614,0.63655,1.26759,0.0146,0.72986,0.74782,0.74838,0.56006,0.9407,0.94437,0.03478,0.0008416,0.0008416,0.0008416
26,344.913,0.61969,1.22554,0.01466,0.80571,0.60607,0.71558,0.54759,0.84136,1.06565,0.03312,0.000835,0.000835,0.000835
27,357.923,0.59726,1.157,0.0142,0.70147,0.68473,0.74608,0.64025,0.65314,1.02286,0.02429,0.0008284,0.0008284,0.0008284
28,370.984,0.5866,1.10556,0.01328,0.73848,0.78661,0.79013,0.6572,0.72152,0.81997,0.02744,0.0008218,0.0008218,0.0008218
29,384.089,0.61417,1.07459,0.01432,0.80043,0.70583,0.79421,0.657,0.75661,0.84104,0.02922,0.0008152,0.0008152,0.0008152
30,397.321,0.60809,1.04627,0.01394,0.76436,0.69889,0.7663,0.63845,0.67989,0.93896,0.02652,0.0008086,0.0008086,0.0008086
31,410.392,0.60326,1.02844,0.01433,0.71361,0.68066,0.74718,0.60039,0.71099,0.99534,0.02692,0.000802,0.000802,0.000802
32,423.442,0.58076,0.98931,0.01316,0.80418,0.78267,0.81969,0.67183,0.69781,0.77886,0.02788,0.0007954,0.0007954,0.0007954
33,436.543,0.59586,0.99333,0.01389,0.77928,0.75789,0.80769,0.68024,0.64477,0.79591,0.02411,0.0007888,0.0007888,0.0007888
34,449.618,0.60451,1.00359,0.01388,0.80357,0.76107,0.82582,0.69321,0.61928,0.74308,0.02325,0.0007822,0.0007822,0.0007822
35,462.86,0.61342,0.91267,0.01399,0.72223,0.72544,0.76665,0.64122,0.67238,0.88316,0.02535,0.0007756,0.0007756,0.0007756
36,476.079,0.6024,0.87457,0.01393,0.80909,0.63093,0.74326,0.61411,0.72267,0.91581,0.02676,0.000769,0.000769,0.000769
37,489.116,0.56328,0.9046,0.01281,0.53342,0.71511,0.68048,0.56737,0.63253,1.11447,0.02554,0.0007624,0.0007624,0.0007624
38,502.286,0.57055,0.911,0.01371,0.78274,0.72134,0.79926,0.64067,0.65835,0.88827,0.02452,0.0007558,0.0007558,0.0007558
39,515.284,0.58467,0.91677,0.01346,0.73767,0.79709,0.83399,0.64493,0.72743,0.84017,0.02818,0.0007492,0.0007492,0.0007492
40,528.532,0.57045,0.85622,0.0125,0.75794,0.70919,0.77955,0.65078,0.69201,0.87801,0.02686,0.0007426,0.0007426,0.0007426
41,543.122,0.57331,0.80732,0.01347,0.73822,0.65151,0.7671,0.65108,0.60232,1.02352,0.0235,0.000736,0.000736,0.000736
42,556.764,0.56921,0.80872,0.0129,0.72258,0.77652,0.78046,0.66864,0.61806,0.86354,0.02408,0.0007294,0.0007294,0.0007294
43,570.209,0.58281,0.83723,0.01326,0.70679,0.71143,0.76119,0.64185,0.61531,0.94903,0.02331,0.0007228,0.0007228,0.0007228
44,584.203,0.52578,0.80104,0.01187,0.73587,0.76117,0.79647,0.68552,0.64061,0.79511,0.02416,0.0007162,0.0007162,0.0007162
45,598.282,0.57419,0.80177,0.01316,0.83667,0.70987,0.80382,0.68869,0.61808,0.79694,0.02334,0.0007096,0.0007096,0.0007096
46,611.972,0.54166,0.74078,0.01207,0.77729,0.69606,0.79884,0.682,0.60466,0.84754,0.0228,0.000703,0.000703,0.000703
47,625.147,0.56907,0.72601,0.01321,0.75251,0.79962,0.81322,0.692,0.64206,0.79356,0.02371,0.0006964,0.0006964,0.0006964
48,638.285,0.54873,0.78776,0.01234,0.69837,0.77252,0.76686,0.63625,0.70276,0.87281,0.02735,0.0006898,0.0006898,0.0006898
49,651.337,0.55899,0.75645,0.01309,0.7271,0.71791,0.76122,0.6491,0.62884,0.91193,0.02448,0.0006832,0.0006832,0.0006832
50,664.603,0.55316,0.79383,0.01265,0.78204,0.78383,0.80656,0.67807,0.66314,0.82078,0.02516,0.0006766,0.0006766,0.0006766
51,677.628,0.56217,0.78384,0.01245,0.83601,0.76677,0.82462,0.68871,0.6111,0.78066,0.02278,0.00067,0.00067,0.00067
52,691.359,0.5482,0.75286,0.01264,0.75017,0.752,0.78879,0.63856,0.6954,0.85538,0.02619,0.0006634,0.0006634,0.0006634
53,704.857,0.5306,0.71845,0.01187,0.72376,0.71915,0.74905,0.63985,0.56553,1.00516,0.02192,0.0006568,0.0006568,0.0006568
54,718.537,0.56205,0.74652,0.01338,0.74319,0.77865,0.8215,0.71114,0.56873,0.86646,0.02179,0.0006502,0.0006502,0.0006502
55,731.777,0.52186,0.72749,0.01206,0.69832,0.75581,0.81459,0.69901,0.62777,0.85175,0.02342,0.0006436,0.0006436,0.0006436
56,745.084,0.53275,0.71143,0.01224,0.80446,0.81491,0.83223,0.70646,0.55233,0.79227,0.02087,0.000637,0.000637,0.000637
57,758.121,0.52995,0.65888,0.01182,0.84699,0.78813,0.84653,0.72875,0.52968,0.74826,0.0203,0.0006304,0.0006304,0.0006304
58,771.313,0.50515,0.64363,0.01129,0.75396,0.78022,0.77787,0.69573,0.54104,0.74932,0.0211,0.0006238,0.0006238,0.0006238
59,784.469,0.5315,0.68626,0.01227,0.80597,0.65225,0.76835,0.66283,0.68298,0.88276,0.02626,0.0006172,0.0006172,0.0006172
60,797.615,0.48651,0.62476,0.01102,0.77635,0.69981,0.79586,0.68151,0.59158,0.80968,0.0227,0.0006106,0.0006106,0.0006106
61,810.923,0.50607,0.64609,0.01171,0.65905,0.83956,0.80506,0.67678,0.5845,0.7911,0.02265,0.000604,0.000604,0.000604
62,824.052,0.51403,0.60179,0.01176,0.73009,0.82989,0.8091,0.66827,0.73631,0.80435,0.02899,0.0005974,0.0005974,0.0005974
63,837.084,0.53164,0.63565,0.01202,0.79525,0.72013,0.79799,0.68907,0.64505,0.80087,0.02459,0.0005908,0.0005908,0.0005908
64,850.2,0.5199,0.63318,0.01175,0.74972,0.77435,0.78001,0.66895,0.61384,0.92009,0.02326,0.0005842,0.0005842,0.0005842
65,863.286,0.5172,0.62197,0.01158,0.71803,0.74742,0.79599,0.70102,0.59137,0.87203,0.02259,0.0005776,0.0005776,0.0005776
66,876.482,0.5303,0.59636,0.01206,0.7888,0.67218,0.77439,0.67729,0.59352,0.91555,0.02257,0.000571,0.000571,0.000571
67,889.586,0.49656,0.61909,0.01123,0.82921,0.71493,0.80004,0.67909,0.62735,0.85511,0.02385,0.0005644,0.0005644,0.0005644
68,902.708,0.48329,0.55723,0.01094,0.7858,0.80381,0.82143,0.69411,0.59609,0.88375,0.02205,0.0005578,0.0005578,0.0005578
