epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.8275,0.76491,3.26715,1.35206,0.00585,0.96736,0.21571,0.17145,0.55491,3.32453,1.18141,0.00025,0.00025,0.00025
2,102.559,0.69208,2.59145,1.30273,0.66573,0.17315,0.29064,0.22866,0.78309,2.43243,1.41697,0.000506634,0.000506634,0.000506634
3,114.144,0.73709,2.22398,1.31766,0.42133,0.48684,0.24569,0.14432,0.93802,3.84415,1.64756,0.000759836,0.000759836,0.000759836
4,125.774,0.73737,2.0081,1.31021,0.81912,0.24949,0.35413,0.1921,1.20748,2.79812,1.86456,0.0009802,0.0009802,0.0009802
5,137.281,0.7456,1.96254,1.29232,0.56486,0.41363,0.41961,0.26398,1.28126,4.09975,1.9758,0.0009736,0.0009736,0.0009736
6,149.158,0.7417,1.86275,1.30597,0.52351,0.44164,0.43609,0.28479,0.91014,2.43424,1.57041,0.000967,0.000967,0.000967
7,161.575,0.74269,1.75056,1.29722,0.68669,0.52913,0.56273,0.42294,0.87084,2.1153,1.64023,0.0009604,0.0009604,0.0009604
8,173.587,0.69206,1.59651,1.24026,0.38511,0.66711,0.50531,0.36582,0.87999,3.47242,1.52131,0.0009538,0.0009538,0.0009538
9,185.52,0.67823,1.54616,1.24265,0.47086,0.7398,0.62509,0.47577,0.88002,1.4717,1.5314,0.0009472,0.0009472,0.0009472
10,198.416,0.7429,1.56376,1.29356,0.5693,0.55178,0.56417,0.43935,0.78148,1.66747,1.39151,0.0009406,0.0009406,0.0009406
11,211.128,0.69692,1.49946,1.24497,0.62253,0.65115,0.67082,0.45352,0.96452,1.35181,1.6414,0.000934,0.000934,0.000934
12,223.196,0.70201,1.46415,1.25112,0.57923,0.66236,0.72734,0.55265,0.86214,1.25,1.53279,0.0009274,0.0009274,0.0009274
13,234.693,0.65897,1.3581,1.22951,0.773,0.53334,0.63364,0.45643,0.86361,1.47015,1.40975,0.0009208,0.0009208,0.0009208
14,246.076,0.68182,1.38032,1.23346,0.59224,0.64449,0.66931,0.5335,0.81918,1.27819,1.4407,0.0009142,0.0009142,0.0009142
15,258.32,0.6452,1.29415,1.22716,0.59213,0.63912,0.62814,0.46585,0.90125,1.30843,1.59185,0.0009076,0.0009076,0.0009076
16,269.854,0.6678,1.30108,1.22779,0.64463,0.57059,0.63858,0.50266,0.82916,1.29745,1.56462,0.000901,0.000901,0.000901
17,281.523,0.64377,1.25705,1.20421,0.70186,0.6183,0.66108,0.49132,0.92385,1.29442,1.56098,0.0008944,0.0008944,0.0008944
18,292.635,0.62903,1.19811,1.20421,0.61972,0.56728,0.60146,0.4779,0.86801,1.53898,1.62585,0.0008878,0.0008878,0.0008878
19,304.443,0.61576,1.19233,1.18673,0.68038,0.64282,0.6987,0.53885,0.74937,1.32774,1.40562,0.0008812,0.0008812,0.0008812
20,316.652,0.63162,1.12802,1.20659,0.6933,0.68146,0.70589,0.52214,0.92692,1.30995,1.49734,0.0008746,0.0008746,0.0008746
21,328.502,0.63383,1.13309,1.20422,0.72869,0.65071,0.6841,0.54457,0.76543,1.1234,1.33738,0.000868,0.000868,0.000868
22,340.467,0.61413,1.16551,1.19407,0.62293,0.72953,0.73209,0.56786,0.81116,1.10997,1.47109,0.0008614,0.0008614,0.0008614
23,351.892,0.61791,1.12065,1.18754,0.62584,0.69371,0.68427,0.56856,0.69812,1.25142,1.26299,0.0008548,0.0008548,0.0008548
24,363.692,0.58451,1.06982,1.18041,0.70597,0.64814,0.69497,0.52005,0.87418,1.26273,1.56085,0.0008482,0.0008482,0.0008482
25,375.36,0.61497,1.07288,1.18584,0.73394,0.70078,0.79476,0.61571,0.79916,1.13137,1.44538,0.0008416,0.0008416,0.0008416
26,387.779,0.599,1.0384,1.18572,0.63276,0.75549,0.76362,0.57015,0.96497,1.05486,1.89037,0.000835,0.000835,0.000835
27,400.263,0.59265,1.00389,1.17733,0.68375,0.7143,0.73721,0.54622,0.88517,1.18131,1.61556,0.0008284,0.0008284,0.0008284
28,412.811,0.57361,0.97331,1.13843,0.82083,0.72718,0.76904,0.59313,0.81543,1.03829,1.46145,0.0008218,0.0008218,0.0008218
29,424.542,0.58448,0.97848,1.1684,0.70253,0.74371,0.76386,0.62964,0.71176,1.09071,1.32962,0.0008152,0.0008152,0.0008152
30,435.992,0.56458,0.97062,1.16344,0.65518,0.68706,0.70953,0.57935,0.71722,1.16253,1.27207,0.0008086,0.0008086,0.0008086
31,447.387,0.55768,0.94551,1.15758,0.74316,0.74705,0.76556,0.63217,0.72572,0.98202,1.27272,0.000802,0.000802,0.000802
32,458.571,0.52579,0.9409,1.11833,0.73922,0.78147,0.79224,0.634,0.74419,1.01917,1.31092,0.0007954,0.0007954,0.0007954
33,469.64,0.55397,0.96103,1.14668,0.71044,0.68764,0.73745,0.62448,0.67938,1.13006,1.28437,0.0007888,0.0007888,0.0007888
34,480.806,0.55526,0.9526,1.139,0.78689,0.72149,0.78033,0.6431,0.74028,0.94885,1.3754,0.0007822,0.0007822,0.0007822
35,492.011,0.53965,0.92617,1.14281,0.68987,0.70475,0.76821,0.6202,0.71844,1.04985,1.29288,0.0007756,0.0007756,0.0007756
36,503.327,0.53457,0.8927,1.13208,0.6025,0.7583,0.71269,0.55475,0.76087,1.13649,1.46268,0.000769,0.000769,0.000769
37,514.386,0.53087,0.88891,1.12269,0.64395,0.70478,0.72122,0.53673,0.84341,1.15531,1.66704,0.0007624,0.0007624,0.0007624
38,525.525,0.55325,0.87787,1.16086,0.89643,0.70077,0.81922,0.68872,0.67372,0.89028,1.24783,0.0007558,0.0007558,0.0007558
39,537.138,0.5266,0.85647,1.1342,0.79414,0.82007,0.83563,0.66234,0.7711,0.8983,1.30374,0.0007492,0.0007492,0.0007492
40,548.573,0.51719,0.85281,1.11452,0.73058,0.77094,0.77296,0.65318,0.61198,0.88952,1.19673,0.0007426,0.0007426,0.0007426
41,560.095,0.51343,0.79254,1.11528,0.7754,0.77006,0.81076,0.6647,0.61871,0.96833,1.19102,0.000736,0.000736,0.000736
42,571.635,0.53449,0.79648,1.13785,0.6617,0.78612,0.70566,0.57203,0.74137,1.02191,1.33721,0.0007294,0.0007294,0.0007294
43,583.364,0.53779,0.83244,1.14109,0.709,0.64766,0.71247,0.55034,0.78314,1.19219,1.47721,0.0007228,0.0007228,0.0007228
44,594.824,0.49703,0.80441,1.10413,0.70421,0.77603,0.77506,0.6314,0.71312,0.95622,1.33225,0.0007162,0.0007162,0.0007162
45,606.016,0.52863,0.8557,1.13596,0.77966,0.67449,0.74322,0.60438,0.7235,1.15122,1.34187,0.0007096,0.0007096,0.0007096
46,617.448,0.48926,0.77129,1.10139,0.8101,0.8009,0.84836,0.71395,0.66329,0.81505,1.26055,0.000703,0.000703,0.000703
47,628.562,0.51684,0.7859,1.1263,0.78918,0.68218,0.75023,0.63782,0.64845,0.9437,1.27435,0.0006964,0.0006964,0.0006964
48,639.749,0.50653,0.84954,1.11397,0.81839,0.72496,0.81285,0.64626,0.76005,0.89631,1.37792,0.0006898,0.0006898,0.0006898
49,650.979,0.51616,0.80389,1.13024,0.68776,0.76744,0.76109,0.62628,0.74081,0.92973,1.32525,0.0006832,0.0006832,0.0006832
50,662.323,0.50749,0.78448,1.10896,0.79308,0.74489,0.784,0.64645,0.70876,0.83896,1.37501,0.0006766,0.0006766,0.0006766
51,673.573,0.49627,0.77061,1.11039,0.78998,0.7874,0.82085,0.67993,0.66798,0.91332,1.26093,0.00067,0.00067,0.00067
52,685.1,0.52131,0.79928,1.12734,0.81907,0.77208,0.81251,0.66397,0.7114,0.86752,1.34438,0.0006634,0.0006634,0.0006634
53,696.421,0.48172,0.76377,1.09701,0.75006,0.75897,0.76101,0.60168,0.73482,0.96074,1.37333,0.0006568,0.0006568,0.0006568
54,708.578,0.48594,0.78692,1.12319,0.75111,0.71925,0.79272,0.6703,0.66807,0.8758,1.2888,0.0006502,0.0006502,0.0006502
55,720.315,0.45671,0.7491,1.07782,0.80619,0.7809,0.79411,0.68828,0.63287,0.87584,1.24076,0.0006436,0.0006436,0.0006436
56,732.082,0.5022,0.77321,1.10731,0.79691,0.76219,0.82082,0.69031,0.6773,0.84469,1.31253,0.000637,0.000637,0.000637
57,743.901,0.47513,0.74776,1.09508,0.82718,0.70526,0.7996,0.64296,0.71189,0.90578,1.30949,0.0006304,0.0006304,0.0006304
58,755.974,0.48463,0.7345,1.10875,0.74469,0.76141,0.80482,0.64488,0.73667,0.93479,1.3721,0.0006238,0.0006238,0.0006238
59,767.469,0.50622,0.74717,1.13236,0.81652,0.68791,0.7905,0.66559,0.70842,0.8952,1.37959,0.0006172,0.0006172,0.0006172
60,779.149,0.46699,0.68549,1.09408,0.74713,0.83375,0.84587,0.71309,0.64113,0.75707,1.24946,0.0006106,0.0006106,0.0006106
61,791.28,0.47392,0.69546,1.11221,0.83766,0.73618,0.82535,0.69666,0.67345,0.86772,1.28602,0.000604,0.000604,0.000604
62,803.109,0.47063,0.6922,1.09982,0.83857,0.72007,0.80103,0.6616,0.71003,0.82522,1.3562,0.0005974,0.0005974,0.0005974
63,814.7,0.46915,0.68544,1.08809,0.78811,0.76398,0.8086,0.67496,0.67817,0.87472,1.27498,0.0005908,0.0005908,0.0005908
64,826.801,0.49074,0.68851,1.10387,0.86339,0.77294,0.80942,0.68933,0.66704,0.79919,1.23328,0.0005842,0.0005842,0.0005842
65,838.545,0.45989,0.66198,1.08495,0.8412,0.73129,0.79213,0.68096,0.74873,0.87478,1.33042,0.0005776,0.0005776,0.0005776
66,850.375,0.46287,0.64991,1.08362,0.8176,0.70763,0.81242,0.66576,0.67249,0.88476,1.25014,0.000571,0.000571,0.000571
