epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.74055,1.64741,2.97723,1.86786,0.00417,1,0.43599,0.22876,1.52489,3.43542,2.09731,0.00026,0.00026,0.00026
2,10.9226,1.35105,2.68867,1.71132,0.00417,1,0.51541,0.27756,1.56751,3.40894,2.12742,0.000536436,0.000536436,0.000536436
3,15.6499,1.37945,2.41404,1.77102,0.00417,1,0.54895,0.23054,1.47196,3.30014,2.09777,0.000809176,0.000809176,0.000809176
4,20.2784,1.46879,2.33297,1.81815,0.00417,1,0.26561,0.10027,2.19463,4.04391,2.49928,0.00107822,0.00107822,0.00107822
5,24.9283,1.66777,2.38098,1.98194,0.00417,1,0.10216,0.03121,2.363,4.22733,2.80589,0.00134357,0.00134357,0.00134357
6,29.4782,1.38676,2.03867,1.78563,0.41124,0.05,0.37249,0.1739,1.7332,3.41952,2.6802,0.00160522,0.00160522,0.00160522
7,33.9315,1.49485,2.06426,1.87025,0.53106,0.17174,0.36661,0.14733,2.07218,3.63022,2.84071,0.00186318,0.00186318,0.00186318
8,38.7926,1.60345,2.19132,1.92185,0.77183,0.2,0.36247,0.12352,2.27443,3.43254,3.01504,0.0019076,0.0019076,0.0019076
9,43.2862,1.65815,2.15817,1.96639,0.15222,0.1,0.05494,0.02101,2.37498,3.99894,2.76256,0.0018944,0.0018944,0.0018944
10,48.4828,1.58173,2.05115,1.8499,0.79063,0.6,0.72188,0.40009,1.64852,2.5434,2.38629,0.0018812,0.0018812,0.0018812
11,53.0659,1.60508,2.03644,1.86254,0.88083,0.55,0.65851,0.2451,2.07398,2.84825,2.75524,0.001868,0.001868,0.001868
12,57.3731,1.56708,2.04972,1.81682,0.71203,0.65,0.68165,0.36469,1.66803,2.68027,2.30161,0.0018548,0.0018548,0.0018548
13,61.7809,1.53964,1.86559,1.79673,0.69273,0.67699,0.70941,0.33157,1.66583,2.6619,2.29387,0.0018416,0.0018416,0.0018416
14,66.4301,1.60799,1.93194,1.80858,0.69273,0.67699,0.70941,0.33157,1.66583,2.6619,2.29387,0.0018284,0.0018284,0.0018284
15,71.1304,1.45837,1.77192,1.75332,0.67908,0.75,0.69903,0.38806,1.43139,2.8561,2.14509,0.0018152,0.0018152,0.0018152
16,76.0013,1.42314,1.90863,1.75836,0.74624,0.8,0.744,0.38023,1.57601,3.13872,2.10738,0.001802,0.001802,0.001802
17,80.5326,1.51705,1.92563,1.80121,0.58795,0.55,0.58081,0.22339,1.8296,3.2524,2.50065,0.0017888,0.0017888,0.0017888
18,84.8789,1.43819,1.88202,1.77059,0.51539,0.65,0.46264,0.14843,2.49118,3.04298,2.95529,0.0017756,0.0017756,0.0017756
19,89.2378,1.45072,1.84261,1.773,0.68508,0.5442,0.56418,0.20202,1.71852,2.70991,2.43909,0.0017624,0.0017624,0.0017624
20,93.9537,1.44565,1.76397,1.60272,0.55161,0.8,0.56975,0.23,1.62054,2.58499,2.12437,0.0017492,0.0017492,0.0017492
21,98.6461,1.43942,1.79614,1.72219,0.37354,0.75,0.46686,0.20916,1.69912,2.89368,2.12624,0.001736,0.001736,0.001736
22,103.285,1.39702,1.89082,1.74201,0.37354,0.75,0.46686,0.20916,1.69912,2.89368,2.12624,0.0017228,0.0017228,0.0017228
23,107.649,1.48021,1.6958,1.73926,0.74281,0.65,0.75999,0.34246,1.714,2.92051,2.23724,0.0017096,0.0017096,0.0017096
24,112.425,1.63414,1.91918,1.9021,0.79219,0.55,0.66763,0.20514,2.15747,3.73461,2.53137,0.0016964,0.0016964,0.0016964
25,116.761,1.4084,1.70476,1.61592,0.93546,0.72557,0.79993,0.41586,1.67534,2.66,2.12725,0.0016832,0.0016832,0.0016832
26,121.41,1.40816,1.666,1.6596,0.94041,0.78955,0.85345,0.48206,1.49923,2.17681,2.03921,0.00167,0.00167,0.00167
27,126.189,1.35631,1.62587,1.69638,0.87312,0.6887,0.8025,0.34418,1.77665,2.59973,2.3608,0.0016568,0.0016568,0.0016568
28,130.728,1.52038,1.65413,1.71287,0.81869,0.67807,0.77767,0.35486,1.7491,2.50874,2.43266,0.0016436,0.0016436,0.0016436
29,135.002,1.42627,1.54402,1.70376,0.70895,0.85264,0.8534,0.47893,1.48365,2.14274,1.99519,0.0016304,0.0016304,0.0016304
30,139.644,1.45433,1.54148,1.74113,0.70895,0.85264,0.8534,0.47893,1.48365,2.14274,1.99519,0.0016172,0.0016172,0.0016172
31,144.164,1.32904,1.4132,1.59364,0.75657,0.85,0.86925,0.50092,1.48518,1.85764,1.92724,0.001604,0.001604,0.001604
32,148.919,1.40759,1.60317,1.75391,0.8113,0.7,0.79935,0.41669,1.59816,1.91222,2.14796,0.0015908,0.0015908,0.0015908
33,153.563,1.32124,1.35953,1.59227,0.91322,0.7,0.836,0.45014,1.54489,1.82148,2.1121,0.0015776,0.0015776,0.0015776
34,157.917,1.41237,1.51009,1.71455,0.87089,0.8,0.86146,0.50047,1.41222,1.90363,1.94337,0.0015644,0.0015644,0.0015644
35,162.593,1.33571,1.40509,1.61528,0.88688,0.8,0.81834,0.42861,1.48223,1.87853,2.01637,0.0015512,0.0015512,0.0015512
36,167.442,1.38105,1.49118,1.66282,0.91169,0.7,0.80002,0.49798,1.46955,1.75306,1.94216,0.001538,0.001538,0.001538
37,171.942,1.37033,1.53207,1.68147,0.91014,0.65,0.76335,0.47184,1.5253,1.88638,2.01091,0.0015248,0.0015248,0.0015248
38,176.51,1.3231,1.45528,1.66221,0.91014,0.65,0.76335,0.47184,1.5253,1.88638,2.01091,0.0015116,0.0015116,0.0015116
39,181.22,1.34457,1.47746,1.66472,0.85192,0.6,0.7587,0.39195,1.63974,1.9525,2.16291,0.0014984,0.0014984,0.0014984
40,185.855,1.32365,1.39324,1.55889,0.81923,0.5,0.68212,0.279,1.76838,2.16547,2.28847,0.0014852,0.0014852,0.0014852
41,190.273,1.38445,1.42573,1.67799,0.56906,0.6,0.59136,0.25819,1.7468,2.40133,2.17835,0.001472,0.001472,0.001472
42,194.917,1.36916,1.41966,1.66263,0.87457,0.69741,0.7734,0.39146,1.57241,1.82704,2.01971,0.0014588,0.0014588,0.0014588
43,199.822,1.29664,1.33239,1.61742,0.84338,0.7,0.81603,0.41537,1.458,1.77251,1.93876,0.0014456,0.0014456,0.0014456
44,204.55,1.25408,1.2427,1.63093,0.79757,0.7,0.75766,0.4422,1.42553,1.80125,1.91145,0.0014324,0.0014324,0.0014324
45,209.286,1.42728,1.42198,1.70126,0.93718,0.74618,0.80494,0.44707,1.48581,1.78849,1.90416,0.0014192,0.0014192,0.0014192
46,213.984,1.16697,1.20955,1.43244,0.93718,0.74618,0.80494,0.44707,1.48581,1.78849,1.90416,0.001406,0.001406,0.001406
47,218.281,1.30218,1.28161,1.63986,0.73017,0.5,0.67419,0.38658,1.49376,1.90371,1.91729,0.0013928,0.0013928,0.0013928
48,222.881,1.3803,1.35125,1.64386,0.60641,0.65,0.67837,0.36408,1.5267,1.82247,1.96629,0.0013796,0.0013796,0.0013796
49,227.552,1.29144,1.31659,1.54681,0.54411,0.77621,0.66943,0.37266,1.59454,1.89778,2.08275,0.0013664,0.0013664,0.0013664
50,232.19,1.20758,1.1852,1.52835,0.74676,0.73768,0.80332,0.38091,1.6682,1.79569,2.26511,0.0013532,0.0013532,0.0013532
51,236.842,1.40285,1.2931,1.61317,0.70231,0.75,0.81343,0.44004,1.68735,1.57553,2.2323,0.00134,0.00134,0.00134
52,241.447,1.37528,1.38437,1.61961,0.84755,0.65,0.77382,0.36853,1.77302,1.59377,2.22052,0.0013268,0.0013268,0.0013268
53,246.15,1.21352,1.2832,1.54207,0.9299,0.7,0.86972,0.42492,1.78826,1.45287,2.26486,0.0013136,0.0013136,0.0013136
54,250.91,1.24036,1.25792,1.52285,0.9299,0.7,0.86972,0.42492,1.78826,1.45287,2.26486,0.0013004,0.0013004,0.0013004
55,255.489,1.26472,1.21437,1.58631,0.87806,0.72081,0.8341,0.44505,1.64699,1.51919,2.19664,0.0012872,0.0012872,0.0012872
56,260.204,1.22499,1.21645,1.5763,0.93323,0.69897,0.8309,0.46873,1.56985,1.46344,2.05567,0.001274,0.001274,0.001274
57,264.827,1.26686,1.22456,1.55492,0.8644,0.7,0.77763,0.40821,1.61637,1.49103,2.16507,0.0012608,0.0012608,0.0012608
58,269.216,1.27307,1.26235,1.56833,0.83898,0.78216,0.81134,0.44467,1.65538,1.38881,2.19301,0.0012476,0.0012476,0.0012476
59,273.59,1.21296,1.18206,1.55191,0.92703,0.8,0.82502,0.45745,1.62015,1.31965,2.16805,0.0012344,0.0012344,0.0012344
60,278.205,1.27753,1.3007,1.57543,0.93444,0.8,0.82869,0.43709,1.57651,1.32539,2.0913,0.0012212,0.0012212,0.0012212
61,282.651,1.26172,1.27335,1.547,0.94008,0.85,0.88242,0.48338,1.56107,1.35746,2.06532,0.001208,0.001208,0.001208
62,287.331,1.17373,1.14728,1.5127,0.94008,0.85,0.88242,0.48338,1.56107,1.35746,2.06532,0.0011948,0.0011948,0.0011948
63,292.048,1.2765,1.12989,1.60775,0.91137,0.75,0.81058,0.48987,1.46245,1.33311,1.99906,0.0011816,0.0011816,0.0011816
64,296.182,1.11717,1.05973,1.47088,0.91845,0.75,0.79721,0.49575,1.39864,1.31957,1.95351,0.0011684,0.0011684,0.0011684
65,300.671,1.17191,1.14776,1.49914,0.93297,0.8,0.85137,0.4974,1.38058,1.30806,1.94807,0.0011552,0.0011552,0.0011552
66,305.486,1.18455,1.17606,1.53973,0.88022,0.8,0.85546,0.49497,1.4048,1.39007,1.94875,0.001142,0.001142,0.001142
