epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.5682,1.73638,2.95333,1.90017,0.00417,1,0.01766,0.00589,2.08003,3.49387,2.4708,6e-05,6e-05,6e-05
2,4.43419,1.65506,3.04361,1.91936,0.00417,1,0.13078,0.06092,1.65376,3.18251,2.11253,0.000139076,0.000139076,0.000139076
3,6.27532,1.45495,2.51451,1.75105,0.00417,1,0.79783,0.39766,1.4352,3.05973,1.93269,0.000217096,0.000217096,0.000217096
4,8.15701,1.30309,1.90444,1.65962,0.00417,1,0.63391,0.24786,1.5459,3.01122,2.05142,0.00029406,0.00029406,0.00029406
5,9.97915,1.46305,1.78602,1.78635,0.00396,0.95,0.27949,0.11754,1.93526,3.2641,2.26701,0.000369968,0.000369968,0.000369968
6,11.7985,1.43511,1.67499,1.67842,0.00417,1,0.69221,0.26766,1.63807,3.05655,2.1045,0.00044482,0.00044482,0.00044482
7,13.6106,1.42867,1.6771,1.59202,0.00591,1,0.76724,0.31482,1.66566,2.98101,2.15687,0.000518616,0.000518616,0.000518616
8,15.4739,1.36342,1.62602,1.55687,0.00417,1,0.82753,0.35798,1.65192,2.87831,2.19143,0.000591356,0.000591356,0.000591356
9,17.2417,1.11825,1.63743,1.48762,1,0.37477,0.8119,0.30499,1.71431,2.7793,2.47112,0.00066304,0.00066304,0.00066304
10,19.0899,1.31249,1.54547,1.52422,0.76299,0.48378,0.64884,0.22901,1.87759,2.85933,2.61718,0.000733668,0.000733668,0.000733668
11,20.9304,1.31855,1.47082,1.53198,0.47379,0.15,0.41897,0.12098,2.1938,3.0508,2.75373,0.00080324,0.00080324,0.00080324
12,22.6846,1.30819,1.59329,1.58195,0.70894,0.55,0.71748,0.30744,1.57824,2.76654,2.20006,0.000871756,0.000871756,0.000871756
13,24.5387,1.36771,1.65909,1.57844,0.69914,0.5,0.70049,0.33665,1.71828,2.64291,2.53869,0.000939216,0.000939216,0.000939216
14,26.2547,1.25667,1.61059,1.54361,0.82784,0.5,0.57747,0.25793,1.90418,2.56101,2.77278,0.00100562,0.00100562,0.00100562
15,27.9727,1.35311,1.63794,1.60127,0.77731,0.52452,0.73023,0.3498,1.81003,2.44896,2.67701,0.00107097,0.00107097,0.00107097
16,29.671,1.35918,1.39439,1.51562,0.71708,0.55,0.66837,0.2234,2.06047,2.49728,3.13033,0.00113526,0.00113526,0.00113526
17,31.451,1.37684,1.54725,1.64311,0.5133,0.63325,0.51463,0.15936,2.23047,2.41864,3.07952,0.0011985,0.0011985,0.0011985
18,33.1592,1.26297,1.41705,1.55331,0.84127,0.55,0.68741,0.33414,1.84024,2.39022,2.56737,0.00126068,0.00126068,0.00126068
19,34.9847,1.40399,1.4238,1.59461,0.73578,0.5,0.68502,0.3051,1.87156,2.50131,2.59251,0.0013218,0.0013218,0.0013218
20,36.7306,1.43772,1.73067,1.65543,0.67843,0.52824,0.58961,0.24188,1.87912,2.58919,2.56359,0.00138187,0.00138187,0.00138187
21,38.4234,1.28332,1.40839,1.49145,0.37798,0.5,0.47537,0.19063,2.20693,2.64043,2.92875,0.00144088,0.00144088,0.00144088
22,40.1687,1.32782,1.4769,1.56307,0.83865,0.52074,0.63534,0.28108,1.97879,2.13341,2.87291,0.00149884,0.00149884,0.00149884
23,41.9284,1.28444,1.46511,1.61963,0.80172,0.65,0.73627,0.31079,1.91825,1.89956,3.05025,0.00155574,0.00155574,0.00155574
24,43.6324,1.42382,1.4579,1.61134,0.7176,0.65,0.72602,0.3132,1.9712,2.0356,3.25662,0.00161158,0.00161158,0.00161158
25,45.3816,1.31463,1.36455,1.56569,0.57059,0.4,0.4067,0.16742,2.15701,2.38279,3.29342,0.00166637,0.00166637,0.00166637
26,47.1701,1.26821,1.44021,1.5334,0.4715,0.5,0.48319,0.1136,2.45923,2.78434,3.59176,0.00167,0.00167,0.00167
27,48.865,1.33016,1.4574,1.56872,0.52615,0.5,0.3639,0.08596,2.77396,3.30607,4.31217,0.0016568,0.0016568,0.0016568
28,50.5687,1.29947,1.35169,1.58444,0.56872,0.79146,0.62389,0.22619,2.1854,2.52685,3.23414,0.0016436,0.0016436,0.0016436
29,52.3118,1.24334,1.33572,1.51321,0.73466,0.6,0.74144,0.3595,1.86352,2.30905,2.72571,0.0016304,0.0016304,0.0016304
30,54.1933,1.20509,1.32413,1.48117,0.71334,0.75,0.72349,0.39424,1.71747,2.0895,2.57827,0.0016172,0.0016172,0.0016172
31,56.0556,1.2728,1.28369,1.508,0.63992,0.71124,0.66092,0.30542,1.90353,2.06771,2.85733,0.001604,0.001604,0.001604
32,57.8755,1.23185,1.2809,1.49032,0.40403,0.57668,0.45888,0.16088,2.07995,2.72428,3.03567,0.0015908,0.0015908,0.0015908
33,59.631,1.21082,1.26437,1.47977,0.3534,0.55,0.33596,0.13356,2.36692,2.96802,3.3255,0.0015776,0.0015776,0.0015776
34,61.5606,1.21953,1.25522,1.51178,0.55251,0.5,0.50968,0.18704,2.18028,2.22551,3.07863,0.0015644,0.0015644,0.0015644
35,63.2859,1.19117,1.10845,1.43036,0.59969,0.6,0.53127,0.16238,2.24045,2.73775,3.20996,0.0015512,0.0015512,0.0015512
36,65.0096,1.23317,1.18264,1.47799,0.70371,0.5,0.60654,0.2557,2.30058,2.96022,3.25914,0.001538,0.001538,0.001538
37,66.8889,1.20877,1.18601,1.53383,0.79648,0.85,0.79227,0.31389,1.94957,2.72135,2.67753,0.0015248,0.0015248,0.0015248
38,68.6208,1.13199,1.18297,1.45043,0.69128,0.85,0.75333,0.36643,1.64802,2.29566,2.52058,0.0015116,0.0015116,0.0015116
39,70.3023,1.24246,1.22369,1.49299,0.65919,0.8,0.63112,0.26409,1.93864,2.25513,3.2049,0.0014984,0.0014984,0.0014984
40,72.095,1.20561,1.17714,1.46215,0.64695,0.64173,0.57072,0.209,2.27667,2.05017,4.25761,0.0014852,0.0014852,0.0014852
41,73.9592,1.16012,1.1281,1.42005,0.83545,0.6,0.65053,0.23991,2.27681,2.08987,3.98827,0.001472,0.001472,0.001472
42,75.7514,1.17518,1.14805,1.46847,0.77646,0.6,0.67743,0.26745,2.1349,2.21139,3.34949,0.0014588,0.0014588,0.0014588
43,77.555,1.07864,1.07011,1.41244,0.88108,0.65,0.79699,0.28816,2.02096,1.89974,3.30815,0.0014456,0.0014456,0.0014456
