epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.2043,1.0547,3.24066,1.65478,0.52941,0.04286,0.22162,0.14117,1.09689,3.72899,2.28613,0.000367273,0.000367273,0.000367273
2,57.806,1.09216,2.61972,1.64712,0.2161,0.64403,0.2527,0.16903,1.25229,3.37105,2.38586,0.000732738,0.000732738,0.000732738
3,84.2364,1.04736,2.26049,1.60874,0.33644,0.50639,0.31902,0.2144,1.15335,2.9861,2.21524,0.00109331,0.00109331,0.00109331
4,110.716,1.07061,2.13246,1.61508,0.40874,0.57606,0.44218,0.26965,1.31494,2.62074,2.34282,0.001089,0.001089,0.001089
5,137.387,1.05993,2.00064,1.61788,0.3557,0.63048,0.42129,0.29975,1.09688,2.41007,2.09615,0.00108167,0.00108167,0.00108167
6,164.291,1.01669,1.93651,1.57743,0.38847,0.65845,0.45846,0.31451,1.11839,2.18237,2.12943,0.00107434,0.00107434,0.00107434
7,190.745,0.99605,1.84386,1.55505,0.41555,0.65944,0.46183,0.32382,1.09583,2.07915,2.10259,0.001067,0.001067,0.001067
8,216.952,1.03498,1.81446,1.59407,0.4333,0.65603,0.51683,0.35577,1.11968,1.9858,2.12413,0.00105967,0.00105967,0.00105967
9,243.453,1.00987,1.75909,1.55841,0.51587,0.63967,0.59994,0.41238,1.14635,1.85328,2.18432,0.00105234,0.00105234,0.00105234
10,269.838,1.02042,1.72375,1.56688,0.48024,0.58644,0.53957,0.38179,1.08284,1.85432,2.05073,0.00104501,0.00104501,0.00104501
11,296.257,1.00476,1.66145,1.56213,0.37597,0.73483,0.54277,0.36709,1.09583,1.89601,2.07569,0.00103767,0.00103767,0.00103767
12,322.654,0.96911,1.6391,1.54496,0.51992,0.6057,0.56422,0.38836,1.08399,1.70313,2.09952,0.00103034,0.00103034,0.00103034
13,349.224,0.93678,1.60372,1.51575,0.44394,0.62842,0.52553,0.35964,1.17572,1.79534,2.12579,0.00102301,0.00102301,0.00102301
14,373.898,0.95755,1.60711,1.53108,0.48656,0.57058,0.55571,0.36177,1.28091,1.81815,2.26805,0.00101568,0.00101568,0.00101568
15,398.693,0.99499,1.55016,1.52873,0.48,0.59715,0.58775,0.41842,1.06179,1.71795,2.10161,0.00100834,0.00100834,0.00100834
16,423.487,0.96784,1.516,1.52733,0.57648,0.67186,0.6516,0.46881,1.09204,1.42694,2.055,0.00100101,0.00100101,0.00100101
17,447.789,0.95183,1.49536,1.52828,0.55809,0.62518,0.61711,0.43297,1.07769,1.6034,2.0176,0.000993678,0.000993678,0.000993678
18,472.775,0.96375,1.52032,1.52064,0.4534,0.69243,0.61564,0.42986,1.07763,1.54426,1.99105,0.000986346,0.000986346,0.000986346
19,497.369,0.92642,1.4621,1.4951,0.64614,0.58034,0.64589,0.42504,1.25883,1.50569,2.13213,0.000979013,0.000979013,0.000979013
20,521.672,0.91521,1.45579,1.49765,0.45287,0.62012,0.58725,0.42028,1.0711,1.57459,1.99944,0.000971681,0.000971681,0.000971681
21,547.318,0.96542,1.48565,1.51696,0.49224,0.63595,0.59731,0.40024,1.06165,1.52913,2.04958,0.000964348,0.000964348,0.000964348
22,574.724,0.93322,1.45163,1.49735,0.5776,0.62797,0.65297,0.44118,1.13649,1.4389,2.09829,0.000957015,0.000957015,0.000957015
23,600.148,0.92372,1.41768,1.4946,0.65773,0.59943,0.66429,0.48707,1.0207,1.30794,1.96968,0.000949683,0.000949683,0.000949683
24,625.468,0.90326,1.35064,1.45452,0.6559,0.57334,0.64868,0.46084,1.09557,1.4302,1.99941,0.00094235,0.00094235,0.00094235
25,650.821,0.93979,1.4313,1.49151,0.48722,0.69537,0.59645,0.42796,1.08157,1.41097,2.02566,0.000935018,0.000935018,0.000935018
26,675.665,0.91828,1.35736,1.46509,0.65221,0.635,0.70042,0.50745,1.04751,1.30234,2.00127,0.000927685,0.000927685,0.000927685
27,700.841,0.93071,1.34798,1.49554,0.56232,0.67195,0.66498,0.47315,1.12266,1.31708,2.03631,0.000920352,0.000920352,0.000920352
28,725.693,0.92931,1.32902,1.47746,0.55381,0.72269,0.68251,0.50018,1.06275,1.38678,1.97863,0.00091302,0.00091302,0.00091302
29,750.505,0.90138,1.32544,1.46823,0.59631,0.61426,0.63359,0.45154,1.08201,1.37052,1.99417,0.000905687,0.000905687,0.000905687
30,777.845,0.91465,1.30575,1.48107,0.47339,0.72122,0.66467,0.46761,1.11215,1.58104,2.02917,0.000898355,0.000898355,0.000898355
31,808.148,0.87069,1.33583,1.46055,0.5888,0.68952,0.69545,0.50282,1.05801,1.25983,1.96572,0.000891022,0.000891022,0.000891022
32,836.225,0.88627,1.31079,1.45971,0.4806,0.72622,0.64443,0.48944,1.00599,1.33088,1.87735,0.000883689,0.000883689,0.000883689
33,864.6,0.90419,1.28982,1.47617,0.64539,0.67438,0.72939,0.53887,1.02469,1.14961,1.96249,0.000876357,0.000876357,0.000876357
34,893.483,0.84628,1.22852,1.42946,0.61398,0.72394,0.72584,0.53391,1.05234,1.20727,1.97799,0.000869024,0.000869024,0.000869024
35,920.152,0.89571,1.23231,1.45998,0.65695,0.65789,0.73937,0.52085,1.08188,1.19168,1.99481,0.000861692,0.000861692,0.000861692
36,947.217,0.88475,1.21509,1.44308,0.6176,0.67209,0.72837,0.53069,0.98459,1.24007,1.8886,0.000854359,0.000854359,0.000854359
37,974.062,0.85908,1.18713,1.43549,0.754,0.63042,0.7517,0.54649,1.06302,1.23599,1.9471,0.000847026,0.000847026,0.000847026
38,999.608,0.86784,1.20927,1.404,0.59416,0.71643,0.71676,0.53712,0.99425,1.1995,1.9208,0.000839694,0.000839694,0.000839694
39,1025.6,0.87754,1.24274,1.42406,0.55267,0.76366,0.71479,0.48901,1.1548,1.21093,2.09465,0.000832361,0.000832361,0.000832361
40,1051.57,0.88561,1.23628,1.45817,0.66613,0.66293,0.7277,0.52645,1.04917,1.18364,1.99737,0.000825029,0.000825029,0.000825029
41,1077.68,0.87768,1.23072,1.42243,0.63093,0.64708,0.70103,0.50084,1.07445,1.25003,1.95466,0.000817696,0.000817696,0.000817696
42,1104.01,0.87226,1.21756,1.44734,0.6492,0.73501,0.74139,0.54342,1.00821,1.13063,1.86222,0.000810363,0.000810363,0.000810363
43,1129.93,0.83037,1.19073,1.4258,0.71749,0.66025,0.73135,0.54374,0.98516,1.16754,1.88191,0.000803031,0.000803031,0.000803031
44,1156.65,0.85735,1.17483,1.43517,0.65209,0.72532,0.75002,0.54317,0.98869,1.09719,1.90828,0.000795698,0.000795698,0.000795698
45,1183.14,0.8395,1.16699,1.42235,0.68495,0.6294,0.74695,0.54903,0.97991,1.17531,1.8749,0.000788366,0.000788366,0.000788366
46,1209.36,0.83106,1.15762,1.40486,0.66165,0.70748,0.75963,0.55073,1.03137,1.16465,1.9421,0.000781033,0.000781033,0.000781033
47,1235.15,0.83382,1.13735,1.40375,0.72006,0.66387,0.72071,0.5302,1.01434,1.16494,1.91814,0.0007737,0.0007737,0.0007737
48,1261.63,0.85479,1.13897,1.41906,0.67534,0.74533,0.78874,0.58071,0.98287,1.02168,1.88565,0.000766368,0.000766368,0.000766368
49,1288.1,0.814,1.12508,1.39463,0.67862,0.71119,0.7785,0.55944,1.038,1.11361,1.93443,0.000759035,0.000759035,0.000759035
50,1315.75,0.81649,1.10947,1.40535,0.7462,0.65738,0.75123,0.54335,1.0447,1.1368,1.94023,0.000751703,0.000751703,0.000751703
51,1343.39,0.8535,1.11698,1.42373,0.68425,0.65451,0.72308,0.53935,0.99842,1.23105,1.8736,0.00074437,0.00074437,0.00074437
52,1369.69,0.82403,1.1308,1.41726,0.61682,0.66743,0.71823,0.53692,0.99906,1.13538,1.88504,0.000737037,0.000737037,0.000737037
53,1395.91,0.84418,1.08845,1.42953,0.67681,0.65409,0.7598,0.57802,0.99368,1.13593,1.86899,0.000729705,0.000729705,0.000729705
54,1422,0.83193,1.06999,1.40309,0.81008,0.69552,0.78257,0.57489,1.02207,1.01355,1.91332,0.000722372,0.000722372,0.000722372
55,1448.01,0.81009,1.04948,1.38771,0.72203,0.66332,0.77172,0.56329,0.97267,1.07704,1.89194,0.00071504,0.00071504,0.00071504
56,1474.44,0.81807,1.06528,1.39156,0.78077,0.67628,0.79173,0.58217,0.97349,1.03593,1.90694,0.000707707,0.000707707,0.000707707
57,1502.16,0.79772,1.04877,1.39266,0.77423,0.6687,0.79881,0.59618,0.98136,1.00514,1.86086,0.000700374,0.000700374,0.000700374
58,1528.61,0.79505,0.99761,1.38314,0.7025,0.71103,0.7551,0.55386,0.99902,1.09948,1.90177,0.000693042,0.000693042,0.000693042
59,1554.88,0.8083,1.02314,1.38539,0.85337,0.62335,0.79806,0.59365,0.97782,0.97289,1.88016,0.000685709,0.000685709,0.000685709
60,1582.95,0.7841,1.06393,1.37509,0.67473,0.67883,0.71078,0.52348,1.00806,1.19795,1.9322,0.000678377,0.000678377,0.000678377
61,1610.75,0.78047,1.02846,1.36616,0.7503,0.70661,0.79434,0.59153,0.97055,1.02653,1.83277,0.000671044,0.000671044,0.000671044
62,1638.4,0.81143,0.98795,1.38643,0.73994,0.67712,0.76331,0.55372,1.00159,1.14546,1.85188,0.000663711,0.000663711,0.000663711
63,1666.76,0.81093,1.05867,1.37951,0.65444,0.70441,0.7635,0.56484,0.99823,1.15409,1.89203,0.000656379,0.000656379,0.000656379
64,1694.38,0.7969,1.03383,1.37043,0.73268,0.76517,0.81123,0.6094,0.9754,0.97313,1.83935,0.000649046,0.000649046,0.000649046
65,1722.14,0.81364,1.03074,1.3946,0.75659,0.72679,0.79175,0.59424,0.97632,0.98569,1.86366,0.000641714,0.000641714,0.000641714
66,1750.21,0.78505,1.03523,1.3763,0.74005,0.67558,0.75872,0.57602,0.94593,1.06012,1.823,0.000634381,0.000634381,0.000634381
67,1778.02,0.77591,0.96944,1.35856,0.65868,0.73725,0.76188,0.5721,0.95834,1.09249,1.83133,0.000627048,0.000627048,0.000627048
68,1805.66,0.77251,0.97242,1.35467,0.72996,0.73937,0.80966,0.6064,0.95869,0.93359,1.83197,0.000619716,0.000619716,0.000619716
69,1833.47,0.79415,0.94468,1.37413,0.79784,0.73472,0.81724,0.62193,0.93927,0.94821,1.80025,0.000612383,0.000612383,0.000612383
70,1861.1,0.75387,0.95677,1.33622,0.71343,0.73131,0.80633,0.5979,0.9817,0.97611,1.86329,0.000605051,0.000605051,0.000605051
71,1888.92,0.77086,0.9019,1.34227,0.76254,0.67672,0.77286,0.56231,1.02065,1.05281,1.93474,0.000597718,0.000597718,0.000597718
72,1916.86,0.76835,0.92588,1.35909,0.81622,0.72024,0.81288,0.61068,0.98579,0.91786,1.89213,0.000590385,0.000590385,0.000590385
73,1945.14,0.78843,0.95008,1.37595,0.79368,0.66369,0.79359,0.594,0.98498,0.97724,1.89553,0.000583053,0.000583053,0.000583053
74,1973.88,0.77985,0.92569,1.36644,0.74744,0.6866,0.7916,0.58828,0.94894,1.01487,1.8754,0.00057572,0.00057572,0.00057572
75,2001.85,0.79039,0.93089,1.36957,0.80539,0.76237,0.83453,0.60482,1.01199,0.91453,1.93186,0.000568388,0.000568388,0.000568388
76,2029.54,0.74084,0.88486,1.33573,0.67834,0.73639,0.77936,0.58534,0.99562,1.03098,1.8852,0.000561055,0.000561055,0.000561055
77,2056.7,0.72601,0.87357,1.3262,0.78624,0.72301,0.8081,0.60865,0.94439,0.94147,1.82449,0.000553722,0.000553722,0.000553722
78,2082.68,0.75013,0.92498,1.34541,0.74361,0.72345,0.80981,0.60813,0.93868,0.95658,1.8318,0.00054639,0.00054639,0.00054639
79,2108.58,0.75366,0.88498,1.332,0.81505,0.6747,0.80063,0.59281,0.96789,1.00954,1.89354,0.000539057,0.000539057,0.000539057
80,2134.63,0.74483,0.87488,1.31987,0.7757,0.75066,0.81726,0.60578,0.97252,0.90877,1.86904,0.000531725,0.000531725,0.000531725
81,2160.84,0.76162,0.892,1.36565,0.78909,0.75177,0.83782,0.63283,0.94055,0.85886,1.84262,0.000524392,0.000524392,0.000524392
