epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0575,1.01535,3.02867,1.61741,0.00404,0.97213,0.23,0.15323,0.95655,3.16966,2.11164,0.0003333,0.0003333,0.0003333
2,29.6452,0.99766,2.30611,1.54606,0.18838,0.33828,0.19597,0.08266,1.39313,2.67715,2.53195,0.000673237,0.000673237,0.000673237
3,43.1159,1.02066,2.14491,1.55436,0.32819,0.62677,0.41316,0.2632,1.1653,2.8827,2.24557,0.00100863,0.00100863,0.00100863
4,56.7671,1.04262,2.0107,1.56636,0.2448,0.54998,0.31391,0.15881,1.57418,2.74984,2.53648,0.001089,0.001089,0.001089
5,70.2981,0.99525,1.89599,1.53884,0.29701,0.601,0.34476,0.23593,1.13961,2.53552,2.27951,0.00108167,0.00108167,0.00108167
6,83.8375,0.97499,1.84616,1.51892,0.36253,0.60027,0.39668,0.25633,1.36109,2.54738,2.3131,0.00107434,0.00107434,0.00107434
7,97.5633,0.98616,1.77914,1.52383,0.31313,0.42162,0.26787,0.11587,2.05989,3.08817,3.35243,0.001067,0.001067,0.001067
8,111.424,0.95066,1.66283,1.48388,0.47932,0.39261,0.30173,0.1648,1.81394,2.88832,2.7728,0.00105967,0.00105967,0.00105967
9,124.951,0.942,1.63396,1.48878,0.37668,0.60283,0.49664,0.33312,1.13088,1.90814,2.14083,0.00105234,0.00105234,0.00105234
10,138.37,0.97574,1.62088,1.52078,0.45921,0.67438,0.54617,0.36942,1.15263,1.46864,2.16354,0.00104501,0.00104501,0.00104501
11,151.692,0.91146,1.57651,1.47879,0.3409,0.48904,0.39166,0.25629,1.22217,1.84279,2.35232,0.00103767,0.00103767,0.00103767
12,164.842,0.93326,1.53476,1.49713,0.50905,0.46504,0.41008,0.24268,1.63109,2.34165,2.60151,0.00103034,0.00103034,0.00103034
13,177.938,0.94361,1.49424,1.49709,0.42569,0.48581,0.37523,0.24649,1.09049,2.2133,2.11924,0.00102301,0.00102301,0.00102301
14,191.054,0.9232,1.48101,1.47488,0.3198,0.56921,0.42762,0.28357,1.18388,1.86367,2.25718,0.00101568,0.00101568,0.00101568
15,204.261,0.94223,1.48844,1.4506,0.36589,0.54103,0.43194,0.30185,1.10199,1.98335,2.05716,0.00100834,0.00100834,0.00100834
16,217.429,0.89213,1.33897,1.44316,0.45733,0.73293,0.63329,0.44495,1.15195,1.58136,2.14075,0.00100101,0.00100101,0.00100101
17,230.594,0.88967,1.36767,1.45981,0.70185,0.51318,0.65429,0.4654,1.09904,1.43364,2.04463,0.000993678,0.000993678,0.000993678
18,243.767,0.91184,1.29587,1.45569,0.58694,0.69356,0.68022,0.46197,1.1702,1.32627,2.1314,0.000986346,0.000986346,0.000986346
19,256.99,0.87605,1.27977,1.44001,0.61239,0.5826,0.61131,0.42989,1.1202,1.70723,2.08709,0.000979013,0.000979013,0.000979013
