epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1615,1.06195,2.81513,1.6449,0.19198,0.53219,0.21469,0.09696,1.80496,2.3936,2.58177,0.000367417,0.000367417,0.000367417
2,45.3364,1.04681,2.20986,1.59251,0.29619,0.79698,0.40589,0.27053,1.13209,1.92188,2.13777,0.000732882,0.000732882,0.000732882
3,66.2176,1.01432,1.97477,1.56406,0.33153,0.50976,0.38641,0.22975,1.19484,2.07216,2.26183,0.00109346,0.00109346,0.00109346
4,87.3015,1.01514,1.82492,1.54633,0.43738,0.60024,0.5282,0.34866,1.17166,1.6756,2.12084,0.001089,0.001089,0.001089
5,131.137,1.01098,1.75843,1.55318,0.5199,0.55506,0.50804,0.35001,1.04162,2.25338,2.06813,0.00108167,0.00108167,0.00108167
6,168.416,1.00051,1.65403,1.53448,0.45217,0.61715,0.54292,0.35661,1.18091,1.56881,2.11347,0.00107434,0.00107434,0.00107434
7,204.616,0.98565,1.60762,1.53282,0.57886,0.70528,0.67469,0.48589,1.01203,1.3348,1.89916,0.001067,0.001067,0.001067
8,242.441,0.97256,1.53686,1.51674,0.59897,0.63543,0.64824,0.46101,1.05766,1.42377,1.94538,0.00105967,0.00105967,0.00105967
9,278.057,0.95348,1.53281,1.50975,0.52531,0.6781,0.66717,0.49618,0.97311,1.28227,1.89969,0.00105234,0.00105234,0.00105234
10,306.817,0.9594,1.49679,1.48936,0.59574,0.68593,0.68441,0.47463,1.1069,1.29728,2.07942,0.00104501,0.00104501,0.00104501
11,329.738,0.94408,1.42029,1.49927,0.65466,0.66508,0.70497,0.4893,1.11589,1.23468,1.9968,0.00103767,0.00103767,0.00103767
12,352.652,0.92933,1.4162,1.46896,0.69346,0.62885,0.71956,0.49196,1.16292,1.30182,2.06484,0.00103034,0.00103034,0.00103034
13,373.47,0.93709,1.37739,1.4799,0.6923,0.69856,0.76778,0.56754,0.98379,1.11085,1.86389,0.00102301,0.00102301,0.00102301
14,394.238,0.92156,1.32826,1.46122,0.50768,0.68308,0.61626,0.43237,1.11226,1.5508,1.98233,0.00101568,0.00101568,0.00101568
15,414.942,0.93094,1.33236,1.47457,0.62614,0.68972,0.73465,0.52996,0.98927,1.19952,1.90407,0.00100834,0.00100834,0.00100834
16,435.976,0.91856,1.28354,1.46301,0.76121,0.71226,0.7877,0.58623,0.95617,1.04097,1.80383,0.00100101,0.00100101,0.00100101
17,457.835,0.90028,1.27227,1.44666,0.71635,0.68128,0.79155,0.60272,0.92262,1.03001,1.77288,0.000993678,0.000993678,0.000993678
18,479.976,0.9008,1.29344,1.45382,0.55115,0.69866,0.70033,0.51342,0.9794,1.24625,1.83742,0.000986346,0.000986346,0.000986346
19,501.499,0.89288,1.23862,1.43564,0.73111,0.72937,0.81077,0.59515,0.96543,1.0085,1.86766,0.000979013,0.000979013,0.000979013
20,523.649,0.90374,1.20203,1.46173,0.66089,0.76323,0.81022,0.60948,0.92495,1.08381,1.83073,0.000971681,0.000971681,0.000971681
21,545.636,0.87764,1.20069,1.42519,0.56246,0.74744,0.75715,0.57141,0.94195,1.17787,1.77351,0.000964348,0.000964348,0.000964348
22,566.352,0.8929,1.2122,1.44425,0.66958,0.73896,0.79213,0.603,0.916,1.08859,1.77412,0.000957015,0.000957015,0.000957015
23,589.328,0.8825,1.18456,1.42521,0.76741,0.77107,0.85521,0.64757,0.87799,0.89619,1.73207,0.000949683,0.000949683,0.000949683
24,613.054,0.8744,1.1924,1.43354,0.65756,0.76811,0.82514,0.62179,0.91485,1.00941,1.75506,0.00094235,0.00094235,0.00094235
25,635.057,0.84965,1.12947,1.41882,0.79269,0.7376,0.84691,0.64733,0.88304,0.9075,1.72095,0.000935018,0.000935018,0.000935018
26,657.286,0.86683,1.14675,1.4421,0.78372,0.78648,0.87104,0.66959,0.87966,0.89523,1.73105,0.000927685,0.000927685,0.000927685
27,679.88,0.87335,1.11273,1.42837,0.70515,0.82419,0.87553,0.66768,0.90734,0.89617,1.74696,0.000920352,0.000920352,0.000920352
28,701.395,0.83378,1.1131,1.39858,0.76137,0.79761,0.87471,0.67207,0.88087,0.88208,1.70151,0.00091302,0.00091302,0.00091302
29,723.337,0.86772,1.12452,1.41794,0.79917,0.78885,0.86543,0.67986,0.84285,0.88158,1.66981,0.000905687,0.000905687,0.000905687
30,745.356,0.84734,1.09971,1.41063,0.77021,0.78147,0.87331,0.67634,0.86559,0.85119,1.70059,0.000898355,0.000898355,0.000898355
31,767.221,0.86971,1.08072,1.42607,0.73588,0.75734,0.86054,0.66929,0.83682,0.87793,1.65751,0.000891022,0.000891022,0.000891022
32,789.254,0.85296,1.04389,1.39717,0.81438,0.8104,0.90009,0.69895,0.85061,0.792,1.67695,0.000883689,0.000883689,0.000883689
33,811.989,0.8473,1.05166,1.41461,0.86823,0.82053,0.91088,0.71033,0.82608,0.7226,1.65901,0.000876357,0.000876357,0.000876357
34,834.486,0.82889,1.06983,1.3825,0.77893,0.78679,0.88787,0.68676,0.84677,0.94238,1.65318,0.000869024,0.000869024,0.000869024
35,857.156,0.83713,1.08544,1.39471,0.85614,0.82191,0.90501,0.70151,0.84997,0.74351,1.66722,0.000861692,0.000861692,0.000861692
36,879.603,0.82786,1.02364,1.39537,0.83929,0.79274,0.91138,0.71574,0.82737,0.78109,1.63545,0.000854359,0.000854359,0.000854359
37,901.112,0.82559,1.00491,1.39611,0.8799,0.83612,0.91565,0.7157,0.83406,0.69784,1.64506,0.000847026,0.000847026,0.000847026
38,922.623,0.82622,1.02022,1.38939,0.85095,0.79341,0.90705,0.70848,0.8258,0.76797,1.61607,0.000839694,0.000839694,0.000839694
39,944.461,0.79352,0.99734,1.36177,0.83559,0.80431,0.90321,0.69775,0.83919,0.78236,1.65916,0.000832361,0.000832361,0.000832361
40,966.137,0.82458,1.01642,1.38551,0.78315,0.83941,0.90154,0.7058,0.85825,0.88007,1.66532,0.000825029,0.000825029,0.000825029
41,987.672,0.81795,1.0162,1.37565,0.80639,0.8097,0.90918,0.7226,0.78171,0.82629,1.58595,0.000817696,0.000817696,0.000817696
42,1009.18,0.78498,0.95141,1.36853,0.83612,0.8261,0.9255,0.73285,0.8152,0.76999,1.60215,0.000810363,0.000810363,0.000810363
43,1030.62,0.82298,0.95385,1.38444,0.87714,0.83276,0.92459,0.71913,0.84762,0.70346,1.64077,0.000803031,0.000803031,0.000803031
44,1052.03,0.81242,0.93642,1.37004,0.84489,0.82576,0.92781,0.73766,0.80219,0.75957,1.59832,0.000795698,0.000795698,0.000795698
45,1073.42,0.80248,0.93198,1.37834,0.8489,0.79641,0.914,0.72772,0.79376,0.77211,1.58879,0.000788366,0.000788366,0.000788366
46,1094.9,0.79747,0.95909,1.36425,0.85558,0.83328,0.94391,0.75879,0.76461,0.70328,1.58008,0.000781033,0.000781033,0.000781033
47,1116.69,0.78183,0.88969,1.35325,0.91045,0.87755,0.95527,0.76859,0.79303,0.62459,1.57536,0.0007737,0.0007737,0.0007737
48,1138.63,0.77751,0.88668,1.34685,0.86938,0.8756,0.93945,0.75494,0.77212,0.67229,1.54667,0.000766368,0.000766368,0.000766368
49,1160.27,0.81715,0.95716,1.3725,0.83812,0.84388,0.92336,0.73915,0.78512,0.75025,1.54742,0.000759035,0.000759035,0.000759035
50,1181.81,0.78306,0.87803,1.34677,0.90827,0.90607,0.95047,0.77169,0.7346,0.55092,1.52957,0.000751703,0.000751703,0.000751703
51,1203.26,0.7901,0.87326,1.35635,0.85751,0.86249,0.93653,0.75257,0.7768,0.67234,1.57297,0.00074437,0.00074437,0.00074437
52,1224.93,0.77398,0.9148,1.33696,0.90891,0.89427,0.94849,0.77494,0.73956,0.58696,1.51776,0.000737037,0.000737037,0.000737037
53,1246.97,0.78153,0.84437,1.33218,0.83662,0.83683,0.93804,0.74691,0.75804,0.71086,1.56905,0.000729705,0.000729705,0.000729705
54,1268.57,0.76239,0.83894,1.31856,0.94532,0.90497,0.95918,0.77571,0.74474,0.52796,1.53137,0.000722372,0.000722372,0.000722372
55,1290.57,0.75616,0.85702,1.33401,0.89111,0.86818,0.94997,0.77283,0.72349,0.65523,1.53177,0.00071504,0.00071504,0.00071504
56,1312.17,0.74838,0.85508,1.33542,0.89311,0.85594,0.95459,0.76521,0.76445,0.62287,1.55497,0.000707707,0.000707707,0.000707707
57,1333.69,0.74784,0.83506,1.3335,0.92563,0.91123,0.96476,0.78717,0.73529,0.53544,1.49922,0.000700374,0.000700374,0.000700374
58,1354.99,0.76225,0.82946,1.34055,0.91299,0.89832,0.96027,0.79243,0.70363,0.61566,1.49555,0.000693042,0.000693042,0.000693042
59,1376.59,0.74006,0.82141,1.31655,0.9236,0.9102,0.95977,0.78617,0.7178,0.55246,1.50295,0.000685709,0.000685709,0.000685709
60,1398.79,0.7508,0.81908,1.33077,0.91915,0.88732,0.96153,0.785,0.72669,0.55988,1.51273,0.000678377,0.000678377,0.000678377
61,1421.03,0.74105,0.76887,1.31628,0.95819,0.92048,0.96647,0.78867,0.74841,0.50793,1.52079,0.000671044,0.000671044,0.000671044
62,1443.12,0.76167,0.84987,1.33405,0.92436,0.90319,0.96606,0.79589,0.7058,0.53482,1.49118,0.000663711,0.000663711,0.000663711
63,1464.16,0.72881,0.80596,1.30763,0.92533,0.85438,0.95934,0.78362,0.72903,0.6067,1.50269,0.000656379,0.000656379,0.000656379
64,1485.43,0.74953,0.79476,1.32453,0.94208,0.9035,0.96474,0.79123,0.70729,0.51436,1.47687,0.000649046,0.000649046,0.000649046
65,1507.64,0.73617,0.78127,1.3008,0.92283,0.8932,0.96272,0.7934,0.72165,0.56524,1.48425,0.000641714,0.000641714,0.000641714
66,1530.39,0.75127,0.80517,1.3164,0.94904,0.91673,0.97312,0.80321,0.68427,0.55958,1.44848,0.000634381,0.000634381,0.000634381
67,1552.85,0.7416,0.77176,1.31321,0.92071,0.89881,0.9654,0.78488,0.74921,0.53193,1.52229,0.000627048,0.000627048,0.000627048
68,1575.7,0.74718,0.78033,1.31966,0.93773,0.90734,0.96754,0.8114,0.67367,0.51673,1.43201,0.000619716,0.000619716,0.000619716
69,1599.27,0.71998,0.7879,1.29364,0.93452,0.93568,0.97187,0.80646,0.69256,0.49355,1.46584,0.000612383,0.000612383,0.000612383
70,1620.88,0.73407,0.75797,1.31447,0.93807,0.9242,0.97024,0.81186,0.67977,0.51296,1.44149,0.000605051,0.000605051,0.000605051
71,1642.21,0.71093,0.75052,1.29508,0.94536,0.92652,0.973,0.82024,0.6475,0.50338,1.40686,0.000597718,0.000597718,0.000597718
72,1663.57,0.70854,0.74059,1.29519,0.96081,0.9252,0.97232,0.82217,0.65322,0.48785,1.40625,0.000590385,0.000590385,0.000590385
73,1684.99,0.72392,0.76662,1.30519,0.93967,0.93088,0.97202,0.8145,0.65135,0.49274,1.41303,0.000583053,0.000583053,0.000583053
74,1706.88,0.69318,0.70065,1.28424,0.95449,0.94903,0.97575,0.82369,0.65722,0.43968,1.39873,0.00057572,0.00057572,0.00057572
75,1728.13,0.68965,0.68674,1.28062,0.96363,0.93983,0.97824,0.82267,0.65931,0.4373,1.39946,0.000568388,0.000568388,0.000568388
76,1750.16,0.712,0.72814,1.29588,0.96618,0.93439,0.97573,0.81594,0.66712,0.45676,1.40964,0.000561055,0.000561055,0.000561055
77,1772.29,0.7029,0.70597,1.28826,0.95069,0.92266,0.96873,0.82626,0.63287,0.50175,1.3832,0.000553722,0.000553722,0.000553722
78,1794.98,0.70964,0.72791,1.28762,0.97194,0.91995,0.9734,0.82141,0.65179,0.45869,1.39981,0.00054639,0.00054639,0.00054639
79,1816.64,0.70322,0.74341,1.28248,0.96799,0.92879,0.97555,0.82167,0.64961,0.45798,1.39866,0.000539057,0.000539057,0.000539057
80,1839.61,0.69623,0.71011,1.28334,0.91213,0.91008,0.97303,0.81908,0.65266,0.49092,1.41142,0.000531725,0.000531725,0.000531725
81,1861.13,0.69448,0.6905,1.27299,0.93733,0.93734,0.97687,0.82371,0.65014,0.47466,1.40348,0.000524392,0.000524392,0.000524392
