epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.717,0.91963,5.86688,0.02488,0.36071,0.07457,0.12157,0.08038,0.92923,5.07932,0.03883,0.000368384,0.000368384,0.000368384
2,97.1292,1.02375,4.62846,0.02712,0.35037,0.32471,0.29932,0.19996,1.22122,3.18978,0.05428,0.000733842,0.000733842,0.000733842
3,143.538,1.0915,3.76529,0.02891,0.28579,0.52256,0.33039,0.23144,1.15826,2.37415,0.05059,0.00109441,0.00109441,0.00109441
4,189.719,1.06912,3.17246,0.02808,0.46446,0.54201,0.45648,0.32286,1.1243,1.607,0.04893,0.001089,0.001089,0.001089
5,235.33,1.07514,2.80441,0.02918,0.36011,0.59825,0.39952,0.25165,1.32243,1.84895,0.06004,0.00108167,0.00108167,0.00108167
6,281.764,1.05537,2.43673,0.02777,0.45221,0.53007,0.45331,0.3295,1.0414,1.5651,0.04366,0.00107434,0.00107434,0.00107434
7,327.676,0.99365,2.18386,0.02606,0.55023,0.60524,0.58116,0.41796,1.06694,1.34621,0.04591,0.001067,0.001067,0.001067
8,374.802,1.01603,2.00266,0.02655,0.55849,0.60756,0.56546,0.41652,1.04283,1.3991,0.04484,0.00105967,0.00105967,0.00105967
9,421.234,1.02873,1.99546,0.02682,0.55836,0.67901,0.65066,0.47354,1.04979,1.24697,0.04523,0.00105234,0.00105234,0.00105234
10,466.981,1.01371,1.83126,0.02632,0.60564,0.68068,0.67548,0.50976,0.97419,1.07074,0.04096,0.00104501,0.00104501,0.00104501
11,511.918,1.042,1.66899,0.02704,0.55051,0.64705,0.64788,0.49161,0.96365,1.25126,0.04065,0.00103767,0.00103767,0.00103767
12,557.791,0.98611,1.58579,0.02566,0.72467,0.73526,0.77329,0.55681,1.06645,0.93056,0.04593,0.00103034,0.00103034,0.00103034
13,603.376,1.03211,1.5187,0.02652,0.71927,0.68654,0.77352,0.54363,1.12507,0.96726,0.04776,0.00102301,0.00102301,0.00102301
14,648.486,0.99019,1.52412,0.0255,0.69479,0.72727,0.77891,0.56336,1.0372,0.92876,0.04447,0.00101568,0.00101568,0.00101568
15,694.283,0.97129,1.42469,0.02551,0.71918,0.70194,0.76419,0.56499,0.9545,0.94154,0.0407,0.00100834,0.00100834,0.00100834
16,739.901,1.0006,1.34821,0.02567,0.70658,0.71375,0.77198,0.55784,1.06632,0.96061,0.04609,0.00100101,0.00100101,0.00100101
17,784.863,0.95457,1.33892,0.0244,0.73026,0.72487,0.78604,0.60427,0.90336,0.84286,0.03762,0.000993678,0.000993678,0.000993678
18,832.316,0.96129,1.39513,0.02409,0.74137,0.72267,0.79352,0.58835,0.96771,0.96957,0.04117,0.000986346,0.000986346,0.000986346
19,877.955,0.96592,1.25848,0.02467,0.72715,0.74094,0.79327,0.5821,1.00931,0.8978,0.04313,0.000979013,0.000979013,0.000979013
20,923.55,0.96656,1.23193,0.02482,0.77389,0.78429,0.85781,0.61391,1.08936,0.77721,0.04765,0.000971681,0.000971681,0.000971681
21,969.091,0.92323,1.14839,0.02336,0.8245,0.78756,0.86418,0.6807,0.83026,0.70903,0.03406,0.000964348,0.000964348,0.000964348
22,1014.58,0.95592,1.19342,0.02411,0.79267,0.78913,0.84784,0.63977,0.96264,0.79935,0.04054,0.000957015,0.000957015,0.000957015
23,1060.26,0.95786,1.19484,0.02435,0.77392,0.83453,0.87604,0.68056,0.86887,0.72312,0.03625,0.000949683,0.000949683,0.000949683
24,1106.2,0.93784,1.14808,0.02419,0.81242,0.77989,0.86459,0.661,0.9025,0.74135,0.0375,0.00094235,0.00094235,0.00094235
25,1151.99,0.93369,1.14272,0.0239,0.81,0.80313,0.87619,0.67839,0.86126,0.69892,0.03567,0.000935018,0.000935018,0.000935018
