epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.966,1.46248,4.88984,1.92584,0.22991,0.1364,0.04429,0.02727,1.42768,5.10763,2.01969,0.000331325,0.000331325,0.000331325
2,215.884,1.51372,4.1019,1.96847,0.00764,0.21571,0.00625,0.00133,3.12516,4.68568,3.51269,0.000660272,0.000660272,0.000660272
3,320.846,1.56416,3.62619,2.00514,0.55108,0.0679,0.03331,0.01019,2.33208,6.4944,3.15363,0.000984818,0.000984818,0.000984818
4,424.237,1.53966,3.42874,1.96993,0.57166,0.12203,0.08309,0.03411,1.73812,3.34923,2.28261,0.0009802,0.0009802,0.0009802
5,528.632,1.52485,3.18998,1.96746,0.74774,0.09588,0.09195,0.03885,1.69431,3.32243,2.28708,0.0009736,0.0009736,0.0009736
6,632.375,1.4699,3.063,1.90525,0.77848,0.13888,0.12868,0.06607,1.65339,3.45044,2.19724,0.000967,0.000967,0.000967
7,735.982,1.455,3.05074,1.8921,0.59384,0.08365,0.07704,0.01501,2.29823,3.44167,2.84968,0.0009604,0.0009604,0.0009604
8,838.306,1.44439,3.03966,1.90015,0.85274,0.09898,0.09991,0.04245,1.81179,3.67171,2.40628,0.0009538,0.0009538,0.0009538
9,941.094,1.38477,2.94765,1.84529,0.7771,0.1765,0.14373,0.07158,1.74414,3.00397,2.24841,0.0009472,0.0009472,0.0009472
10,1043.72,1.35003,2.89561,1.80894,0.53667,0.23596,0.17607,0.09287,1.71718,2.69011,2.25137,0.0009406,0.0009406,0.0009406
11,1145.51,1.38086,2.79495,1.83477,0.80141,0.17979,0.18681,0.10908,1.54172,3.18604,1.99884,0.000934,0.000934,0.000934
12,1248.01,1.327,2.80399,1.78249,0.67378,0.26087,0.20147,0.11017,1.6884,2.90628,2.18388,0.0009274,0.0009274,0.0009274
