epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.63,1.25018,13.9229,0.03217,0.63756,0.02791,0.06322,0.03563,1.37139,11.1605,0.04671,0.000331325,0.000331325,0.000331325
2,240.284,1.26869,9.16953,0.03234,0.7635,0.0955,0.09,0.04765,1.57597,3.56055,0.05919,0.000660272,0.000660272,0.000660272
3,356.701,1.35674,5.89418,0.03577,0.65233,0.12361,0.11687,0.04275,1.59625,3.21657,0.05987,0.000984818,0.000984818,0.000984818
4,471.899,1.39076,4.34363,0.03505,0.63249,0.08438,0.07595,0.02029,1.81367,3.48959,0.06675,0.0009802,0.0009802,0.0009802
5,585.946,1.43476,3.6899,0.03741,0.52899,0.22198,0.15891,0.07738,1.61869,2.71704,0.05637,0.0009736,0.0009736,0.0009736
6,698.985,1.43081,3.32702,0.03713,0.37532,0.30548,0.18901,0.08742,1.81574,2.81391,0.06566,0.000967,0.000967,0.000967
7,813.841,1.40505,3.1958,0.0358,0.46641,0.2463,0.21344,0.10163,1.72092,2.49958,0.0615,0.0009604,0.0009604,0.0009604
8,923.684,1.41725,3.1223,0.03638,0.39211,0.26758,0.20146,0.10683,1.56481,2.49655,0.05424,0.0009538,0.0009538,0.0009538
9,1034.05,1.40554,3.00805,0.03652,0.24655,0.27324,0.21491,0.11282,1.59826,2.38076,0.05595,0.0009472,0.0009472,0.0009472
10,1144.08,1.36578,2.94079,0.03529,0.23702,0.39608,0.25657,0.12182,1.84685,2.31152,0.06488,0.0009406,0.0009406,0.0009406
11,1253.97,1.37787,2.83035,0.0362,0.23388,0.38353,0.29293,0.15652,1.63479,2.27576,0.05707,0.000934,0.000934,0.000934
12,1364.49,1.37433,2.77969,0.03503,0.33528,0.38987,0.29744,0.14464,1.86476,2.25815,0.07002,0.0009274,0.0009274,0.0009274
