epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.04948,2.05898,3.24041,2.31742,0.00284,0.91579,0.00787,0.00348,1.72842,3.75133,2.12182,0.00012,0.00012,0.00012
2,10.7566,1.65496,2.88016,2.06113,0.00301,0.96842,0.4334,0.19192,1.76785,3.54141,2.20443,0.000258284,0.000258284,0.000258284
3,15.1857,1.63305,2.76747,1.97741,0.0031,1,0.5483,0.27433,1.54314,3.47891,2.06293,0.00039472,0.00039472,0.00039472
4,19.6596,1.67307,2.52321,1.94286,0.00307,0.98947,0.53611,0.21592,1.61398,3.47294,2.10829,0.000529308,0.000529308,0.000529308
5,24.1322,1.67277,2.25083,1.97972,0.77943,0.4092,0.60334,0.28665,1.55257,3.28127,2.09226,0.000662048,0.000662048,0.000662048
6,28.3203,1.60321,2.22196,1.90195,0.77546,0.38947,0.59201,0.20982,1.69996,3.25454,2.42172,0.00079294,0.00079294,0.00079294
7,32.7667,1.63953,2.23902,1.96273,0.21638,0.18947,0.15053,0.04025,2.05941,4.15434,2.60919,0.000921984,0.000921984,0.000921984
8,36.9475,1.67514,2.11455,1.99638,0.26505,0.11579,0.11971,0.0332,2.87473,5.18246,3.14772,0.00104918,0.00104918,0.00104918
9,41.2836,1.69199,2.2205,2.05248,0.78159,0.48975,0.66236,0.24053,1.89999,3.32986,2.62896,0.00117453,0.00117453,0.00117453
10,45.6666,1.60366,2.13886,1.93596,0.34769,0.26316,0.18087,0.04853,2.65577,4.30892,3.45403,0.00129803,0.00129803,0.00129803
11,50.2111,1.71505,2.02119,2.05846,0.26404,0.27192,0.13107,0.036,2.41821,4.44608,3.05635,0.00141968,0.00141968,0.00141968
12,54.6915,1.74249,2.06138,2.06302,0.06508,0.11579,0.04044,0.00843,2.82205,4.13276,3.53448,0.00153948,0.00153948,0.00153948
13,59.0631,1.76285,2.16429,2.041,0.1931,0.4,0.17081,0.04999,2.16328,3.22115,2.91455,0.00165744,0.00165744,0.00165744
14,63.4843,1.726,2.06373,2.01694,0.10982,0.29474,0.06562,0.02131,1.92995,3.28591,2.42187,0.00177355,0.00177355,0.00177355
15,67.9931,1.71353,1.98156,2.05579,0.27386,0.30526,0.24335,0.09484,1.90532,2.83583,2.50313,0.0018152,0.0018152,0.0018152
16,72.459,1.67844,2.02086,2.0271,0.26875,0.37895,0.24402,0.06965,2.11256,2.9227,2.8703,0.001802,0.001802,0.001802
17,76.8303,1.77382,2.03723,2.11632,0.39665,0.49474,0.3645,0.1214,2.18644,2.70416,3.10388,0.0017888,0.0017888,0.0017888
18,81.1927,1.64553,1.85397,1.96705,0.51906,0.56842,0.52867,0.18632,2.02411,2.61745,2.95441,0.0017756,0.0017756,0.0017756
19,85.4861,1.65945,1.87622,1.978,0.54274,0.55789,0.49292,0.20628,2.07493,2.72742,3.56027,0.0017624,0.0017624,0.0017624
20,89.8714,1.63153,1.82448,1.96749,0.39089,0.37895,0.3219,0.12292,1.91354,2.47148,2.63451,0.0017492,0.0017492,0.0017492
21,94.1611,1.83935,2.02035,2.03889,0.39924,0.24211,0.26822,0.09466,2.20221,2.31239,2.74479,0.001736,0.001736,0.001736
