epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.24071,1.8082,6.63893,0.03491,0.00271,0.87368,0.02719,0.00921,1.86933,11.5078,0.04862,0.00012,0.00012,0.00012
2,11.511,1.56309,6.12405,0.03358,0.00281,0.90526,0.15559,0.0637,1.38087,10.7641,0.03448,0.000258284,0.000258284,0.000258284
3,16.5605,1.40945,6.25911,0.02606,0.00284,0.91579,0.13203,0.05442,1.47429,10.9309,0.0377,0.00039472,0.00039472,0.00039472
4,21.6375,1.37127,6.03048,0.02638,0.00271,0.87368,0.15429,0.05572,1.41571,10.8176,0.03603,0.000529308,0.000529308,0.000529308
5,26.7417,1.35306,5.4447,0.02934,0.00294,0.94737,0.17782,0.08382,1.17356,10.4427,0.02988,0.000662048,0.000662048,0.000662048
6,31.6893,1.30973,5.42758,0.02624,0.00297,0.95789,0.32503,0.16526,1.21442,10.5038,0.03136,0.00079294,0.00079294,0.00079294
7,36.8022,1.3595,5.06272,0.028,0.00297,0.95789,0.50659,0.24042,1.09839,10.3343,0.02739,0.000921984,0.000921984,0.000921984
8,41.6852,1.43656,4.67391,0.03262,0.63656,0.40565,0.47754,0.20612,1.25286,10.3999,0.0302,0.00104918,0.00104918,0.00104918
9,46.6307,1.45454,4.75263,0.03228,0.73475,0.43742,0.54593,0.19938,1.37531,10.3508,0.03443,0.00117453,0.00117453,0.00117453
10,51.6998,1.46943,4.32185,0.0327,0.72816,0.33684,0.50884,0.26254,1.38803,9.80724,0.03421,0.00129803,0.00129803,0.00129803
11,56.782,1.50937,4.15093,0.03348,0.87862,0.15255,0.44976,0.16154,1.27916,9.69073,0.0309,0.00141968,0.00141968,0.00141968
12,61.9774,1.48383,4.1252,0.0335,0.74491,0.45263,0.564,0.23374,1.71314,8.8527,0.04549,0.00153948,0.00153948,0.00153948
13,66.9145,1.57975,3.88188,0.03295,0.7544,0.54969,0.63083,0.28043,1.72379,8.40522,0.0467,0.00165744,0.00165744,0.00165744
14,72.0991,1.5921,3.85944,0.03401,0.68189,0.51899,0.56644,0.14568,1.61415,8.42134,0.04455,0.00177355,0.00177355,0.00177355
15,77.2391,1.51542,3.5551,0.03442,0.6567,0.58398,0.67602,0.20832,1.8366,6.46498,0.05314,0.0018152,0.0018152,0.0018152
16,82.3065,1.59231,3.56219,0.03365,0.56921,0.59807,0.63232,0.23596,1.62174,4.38856,0.04689,0.001802,0.001802,0.001802
17,87.3308,1.51659,3.55109,0.03289,0.57054,0.62105,0.62566,0.22687,1.6547,3.9529,0.04607,0.0017888,0.0017888,0.0017888
18,92.3794,1.54013,3.18898,0.03302,0.54054,0.61053,0.64121,0.23788,1.87986,3.43723,0.05338,0.0017756,0.0017756,0.0017756
19,97.3371,1.68532,3.42776,0.03609,0.61507,0.45263,0.53997,0.20157,1.78975,3.28218,0.05011,0.0017624,0.0017624,0.0017624
20,102.342,1.50614,3.01834,0.0346,0.48552,0.48421,0.48706,0.12671,1.8479,3.44846,0.05094,0.0017492,0.0017492,0.0017492
21,107.327,1.69401,3.34206,0.03507,0.63829,0.64211,0.68769,0.22842,1.9655,2.88591,0.05553,0.001736,0.001736,0.001736
22,112.306,1.5327,2.86157,0.03412,0.73621,0.69474,0.8073,0.39689,1.51048,2.3526,0.03991,0.0017228,0.0017228,0.0017228
23,117.198,1.4179,2.69898,0.03019,0.72744,0.67426,0.73364,0.30221,1.71124,2.54949,0.04938,0.0017096,0.0017096,0.0017096
24,122.19,1.50426,2.76157,0.03241,0.86168,0.52461,0.67432,0.24825,1.74954,2.37919,0.04822,0.0016964,0.0016964,0.0016964
25,127.265,1.59865,2.64268,0.03471,0.71487,0.6334,0.69769,0.25475,1.78765,2.34259,0.04889,0.0016832,0.0016832,0.0016832
26,132.198,1.54456,2.60963,0.03226,0.75128,0.68421,0.80646,0.32483,1.81267,2.00339,0.04769,0.00167,0.00167,0.00167
27,137.171,1.58989,2.5415,0.03563,0.56053,0.67368,0.69557,0.29306,1.73318,2.08237,0.04667,0.0016568,0.0016568,0.0016568
28,142.221,1.49785,2.51301,0.03302,0.64216,0.68007,0.70655,0.32623,1.66236,2.26205,0.04535,0.0016436,0.0016436,0.0016436
29,147.309,1.50561,2.33299,0.03124,0.72412,0.69076,0.74197,0.3263,1.72545,2.27327,0.04843,0.0016304,0.0016304,0.0016304
30,152.28,1.5962,2.32785,0.03471,0.69588,0.70526,0.74549,0.24966,2.23739,2.18221,0.06841,0.0016172,0.0016172,0.0016172
31,157.162,1.58285,2.20575,0.03456,0.63851,0.64211,0.68502,0.24584,2.04608,2.01365,0.06011,0.001604,0.001604,0.001604
32,162.222,1.55503,2.12291,0.03547,0.50306,0.54737,0.43242,0.15049,1.82803,2.63041,0.0517,0.0015908,0.0015908,0.0015908
